Issue;Domain;Project
Naturschutz / Biodiversitaet;Schutz aquatischer Lebensraeume;Schaffung neuer Lebensraeume, Renaturierung oder Revitalisierung
Raumplanung, Monitoring und Unterhalt;Naturschutz;Gewaesser- und Uferschutz
Bauliche Massnahmen;Raumplanung;Ueberbauung von aquatischen Lebensraeumen
Notfallplanung;Planung in der Siedlungswasserwirtschaft;Regulierung von Gewaesserniveaus und Steuerung von Schwall und Sunk
Naturgefahren;Monitoring;Schutzwald
;Unterhalt;Auenschutz
;Schutzinfrastruktur;Raumplanungsinstrumente
;Renaturierungsmassnahmen;Enteignungen und Ausgleich
;;Ausscheidung von Gewaesserraeumen
;;Ausarbeitung eines Entwaesserungsplans
;;Ausarbeitung einer Gefahrenkarte oder eines Gefahrenkatasters fuer Hochwasserschutz
;;Ausarbeitung eines Ereigniskatasters fuer Hochwasserschutz
;;Ausarbeitung eines Schutzbautenkataster fuer Hochwasserschutz
;;Messung
;;Recherche
;;Gewaesserunterhalt
;;Verlegung gefaehrdete Bauten an sichere Orten
;;Pruefung der Hochwassersicherheit von Staumauern
;;Erstellung von Infrastruktur fuer den technischen Hochwasserschutz
;;Schutz von Atommuelllagern vor Schaeden durch Wasser
;;Schutz vor Schmelzwasser aus Gletscherschmelze
;;Seeregulierung fuer Hochwasserschutz
;;Alarmierung
;;Notfallplan
;;Hochwasserschutz
