article_number;article_title;article_text
1;"

Art. 1


Gegenstand

";"
1

Dieses Gesetz regelt die dem Kanton obliegenden Aufgaben im Bevölkerungsschutz und im Zivilschutz.



2

Es enthält die Grundsätze für die Zusammenarbeit der Partnerorganisationen des Bevölkerungsschutzes für die Vorbereitung auf Katastrophen, Notlagen, Grossereignisse und Grossanlässe und deren Bewältigung und legt die Zuständigkeiten und die Führung fest.

"
2;"

Art. 2


Begriffe

";"
1

Katastrophen und Notlagen sind überraschend eintretende Ereignisse bzw. unmittelbar drohende Störungen der öffentlichen Ordnung und Sicherheit oder soziale Notstände, die mit den für den Normalfall bestimmten Mitteln und Befugnissen allein nicht mehr bewältigt werden können.



2

Grossereignisse sind überraschend eintretende Ereignisse mit grossem Schadenausmass, zu deren Bewältigung einzelne oder mehrere Partnerorganisationen des Bevölkerungsschutzes unterstützend beigezogen werden können.



3

Grossanlässe sind planbare, organisierte und zeitlich begrenzte Ereignisse, die den Einsatz des Verbundsystems Bevölkerungsschutz notwendig machen.

"
3;"

Art. 3


Zuständigkeit

";"
1

Die Gemeinden sind die Hauptträgerinnen des Bevölkerungsschutzes und des Zivilschutzes.



2

Der Kanton regelt die Systemsteuerung und das Controlling.

"
4;"

Art. 4


Subsidiarität

";"
1

Unter Vorbehalt von Artikel 9 greifen bei Katastrophen und in Notlagen die zuständigen Organe des Verwaltungskreises bzw. des Kantons erst dann ein, wenn die betroffene Gemeinde bzw. der Verwaltungskreis dazu nicht mehr in der Lage ist oder um Hilfe ersucht.

"
5;"

Art. 5


Verbundsystem Bevölkerungsschutz

";"
1

Das Verbundsystem Bevölkerungsschutz umfasst folgende Partnerorganisationen:





        a
      

        die Polizeiorgane des Kantons und der Gemeinden zur Aufrechterhaltung von Sicherheit und Ordnung,
      





        b
      

        die Feuerwehr für die Rettung und die allgemeine Schadenwehr,
      





        c
      

        Institutionen des öffentlichen und des privaten Gesundheitswesens, einschliesslich des sanitätsdienstlichen Rettungsdienstes, zur medizinischen Versorgung der Bevölkerung,
      





        d
      

        die technischen Betriebe zur Gewährleistung der technischen Infrastruktur, insbesondere der Elektrizitäts-, Wasser- und Gasversorgung, der Entsorgung sowie der Verkehrsverbindungen und der Telematik,
      





        e
      

        den Zivilschutz zum Schutz der Bevölkerung, zur Betreuung von Schutz suchenden Personen, zum Schutz der Kulturgüter, zur Unterstützung der Führungsorgane und der andern Partnerorganisationen sowie für Instandstellungsarbeiten und für Einsätze zugunsten der Gemeinschaft.
      



2

Je nach Bedarf können weitere staatliche und private Organisationen, Institutionen und Einzelpersonen zur Zusammenarbeit im Verbundsystem Bevölkerungsschutz verpflichtet werden, insbesondere für die Ausbildung und für Übungen. Der Regierungsrat regelt die Einzelheiten durch Verordnung.

"
6;"

Art. 6


Handlungsziele der Partnerorganisationen

";"
1

Die Partnerorganisationen des Bevölkerungsschutzes richten ihr Handeln bei Katastrophen, in Notlagen und bei Grossereignissen nach folgenden drei Zielen aus:





        a
      

        Schutz der Bevölkerung und ihrer Lebensgrundlagen,
      





        b
      

        Wahrung der Handlungsfreiheit,
      





        c
      

        Wiederherstellung geordneter Verhältnisse.
      

"
7;"

Art. 7


Aufgaben der Partnerorganisationen

";"
1

Bei Katastrophen, in Notlagen und bei Grossereignissen erfüllen die Partnerorganisationen namentlich die folgenden Aufgaben:





        a
      

        Schutz, Rettung und Hilfeleistung,
      





        b
      

        Behandlung und Betreuung von Patientinnen und Patienten,
      





        c
      

        Aufnahme und Betreuung von Schutz suchenden Personen,
      





        d
      

        Sicherstellung der Regierungs- und Verwaltungstätigkeit,
      





        e
      

        Information der Behörden und der Bevölkerung,
      





        f
      

        Gewährleistung der öffentlichen Sicherheit und Ordnung,
      





        g
      

        Versorgung der Bevölkerung mit lebenswichtigen Gütern,
      





        h
      

        Offenhaltung von Verkehrswegen,
      





        i
      

        Sicherstellung der Kommunikation,
      





        k
      

        Gewährleistung der Entsorgung,
      





        l
      

        Begrenzung der Auswirkungen bestehender Schäden und Verhinderung neuer Folgeschäden.
      

"
8;"

Art. 8


Führungsorgane

";"
1

Der Kanton, die Verwaltungskreise und die Gemeinden bilden Führungsorgane für





        a
      

        eine stufengerechte Gefahrenanalyse und Risikobeurteilung auf der Grundlage der Vorarbeiten der Gemeinden,
      





        b
      

        die Planung von Massnahmen als Grundlage für die Einsatzplanung für die Einsatzformationen,
      





        c
      

        die Koordination der für die Bewältigung von Katastrophen, Notlagen und Grossereignissen zur Verfügung stehenden Mittel,
      





        d
      

        die Beratung der vorgesetzten politischen Behörden und die Vorbereitung ihrer Entscheide.
      

"
9;"

Art. 9


Zuständigkeit des Kantons

";"
1

Vorbehältlich anderslautender bundesrechtlicher Vorschriften liegt die Verantwortung für die Gesamtkoordination im Bereich des Bevölkerungsschutzes insbesondere für folgende Fälle beim Kanton:





        a
      

        Tierseuchen und Epidemien,
      





        b
      

        Gefährdung bei Talsperren,
      





        c
      

        Gefährdung durch atomare, biologische oder chemische Ereignisse,
      





        d
      

        Gefährdung der öffentlichen Sicherheit,
      





        e
      

        Grossereignisse, Grossanlässe und besondere Risiken.
      

"
10;"

Art. 10


Handlungsfähigkeit der Behörden

";"
1

Die Behörden stellen ihre Handlungsfähigkeit möglichst unter Wahrung der ordentlichen Strukturen sicher. Sie sorgen für eine angemessene Bereitschaft.

"
