article_number;article_title;article_text
1;"

Art. 1


 

";"
1

Diese Verordnung regelt für die Bewältigung von Katastrophen, Notlagen, Grossereignissen und Grossanlässen





        a
      

        die Aufgaben und die Zusammenarbeit der Partnerorganisationen und der Fachbereiche,
      





        b
      

        die Führung und die Organisation,
      





        c
      

        die Aufgaben und die Zuständigkeiten in der Vorbereitungs-, Einsatz- und Instandstellungsphase sowie in der Ausbildung,
      





        d
      

        die Technik und die Infrastruktur sowie
      





        e
      

        die Aufgaben und die Zuständigkeiten in den Bereichen der Schutzbauten und der wirtschaftlichen Landesversorgung.
      



2

Soweit sie nicht bereits in besonderen Erlassen geregelt sind, regelt sie im Weiteren die Belange der Institutionen des öffentlichen und privaten Gesundheitswesens, einschliesslich des sanitätsdienstlichen Rettungsdienstes, sowie der psychologischen und seelsorgerlichen Nothilfe und Betreuung.



3

Sie stellt die Grundsätze für die Zusammenarbeit der Behörden auf allen Verwaltungsebenen auf und regelt die Finanzierung.



4

Sie regelt die Einsatzverpflichtung, die Ausbildung, die Entschädigung und die Versicherung





        a
      

        der Mitarbeiterinnen und Mitarbeiter der Kantonsverwaltung,
      





        b
      

        der beigezogenen Fachpersonen,
      





        c
      

        der Mitglieder der kantonalen Führungsorgane,
      





        d
      

        des öffentlichen und privaten Gesundheitswesens und der Rettungsdienste,
      





        e
      

        des verpflichteten Personals öffentlicher oder privater Körperschaften,
      





        f
      

        der Dienstpflichtigen,
      





        g
      

        der Freiwilligen.
      

"
2;"

Art. 2


Vorsorge

";"
1

Die Vorsorge umfasst alle Massnahmen, welche im Hinblick auf Katastrophen, Notlagen, Grossereignisse und Grossanlässe von Behörden und Führungsorganen auf allen Stufen sowie von Interventionsdiensten getroffen werden. Sie umfasst insbesondere





        a
      

        die Ausbildung von Führungsorganen und Einsatzkräften,
      





        b
      

        die Regelung der Zusammenarbeit,
      





        c
      

        die Erstellung von Notfallplanungen, Einsatzplanungen, Gefahrenanalysen,
      





        d
      

        spezielle Alarmorganisationen für die Einsatzkräfte sowie zum Schutz der Bevölkerung,
      





        e
      

        die vorsorglichen Massnahmen, sofern eine unmittelbare Gefahr besteht und die normalen Verfahren und Prozesse nicht zeitgerecht ausreichen,
      





        f
      

        die Bereithaltung von Material und Infrastruktur.
      

"
3;"

Art. 3


Einsatz

";"
1

Der Einsatz umfasst die Alarmierung, sämtliche Massnahmen zur Bewältigung von Katastrophen, Notlagen und Grossereignissen sowie unmittelbare Räumungsarbeiten, insbesondere Massnahmen zur Verhinderung von weiteren grösseren Schäden und zur behelfsmässigen Sicherstellung von überlebenswichtigen Infrastrukturen.

"
4;"

Art. 4


Instandstellung

";"
1

Die Instandstellung nach einer Katastrophe oder einem Grossereignis umfasst alle übrigen Räumungsarbeiten sowie alle Massnahmen zur Wiederherstellung geordneter Verhältnisse.

"
5;"

Art. 5


 

";"
1

In Führungsorganen auf allen Ebenen sind in der Regel keine Personen einzusetzen, welche aufgrund anderer Funktionen im Einsatzfall nicht verfügbar sind. Die Stellvertretung der Funktionsträgerinnen und Funktionsträger ist sicherzustellen.

"
6;"

Art. 6


 

";"
1

Das Kantonale Führungsorgan (KFO) gliedert sich in eine Kerngruppe, in einen Planungsstab und in einen Führungsstab. Die Bildung weiterer Stäbe kann von der Chefin oder dem Chef KFO bei der Polizei- und Militärdirektion (POM) beantragt werden. Diese legt die Hauptaufgaben der Stäbe und Zellen des KFO in einem Reglement fest.



2

Zwingend in der Kerngruppe KFO vertreten sind folgende Funktionen:





        a
      

        Chefin oder Chef Planungsstab,
      





        b
      

        Chefin oder Chef Führungsstab,,
      





        c
      

        Chefin oder Chef Ausbildung und Übungen,
      





        d
      

        Chefin oder Chef Kommunikation,
      





        e
      

        Chefin oder Chef Geschäftsstelle KFO.
      



3

Die Chefin oder der Chef des Kantonalen Territorialverbindungsstabs ist mit beratender Stimme Mitglied der Kerngruppe KFO. Sie oder er wird durch die Kommandantin oder den Kommandanten der Territorialregion 1 ernannt.



4

Die Chefin oder der Chef KFO leitet die Kerngruppe und ernennt die Mitglieder des Planungsstabs im Einvernehmen mit den betroffenen Ämtern.



5

Die Funktion der Chefin oder des Chefs Planungsstab kann von der Chefin oder dem Chef KFO wahrgenommen werden. Die Partnerorganisationen des Bevölkerungsschutzes sind im Planungsstab zwingend vertreten, je nach Planungsauftrag nehmen zusätzlich Vertreterinnen und Vertreter von Partnern, Fachbereichen und Dritten Einsitz.



6

Die Chefin oder der Chef Führungsstab ernennt dessen Mitglieder im Einvernehmen mit den betroffenen Ämtern. Die Partnerorganisationen des Bevölkerungsschutzes sind im Führungsstab zwingend vertreten, je nach Lage und Ereignis nehmen zusätzlich Vertreterinnen und Vertreter von Partnern, Fachbereichen und Dritten Einsitz.



7

Die Direktionen delegieren die benötigten Fachpersonen in die Gremien des KFO.



8

Die Geschäftsstelle des KFO wird durch das Amt für Bevölkerungsschutz, Sport und Militär (BSM) geführt.

"
7;"

Art. 7


 

";"
1

Die Regierungsstatthalterinnen und Regierungsstatthalter führen bzw. koordinieren als politisch Verantwortliche in Katastrophen, bei Notlagen und Grossereignissen und tragen die Gesamtverantwortung für deren Bewältigung in ihrem Verwaltungskreis. Sie stellen die Verbindung zur Kantonsregierung und die Information der Bevölkerung sicher.



2

Ihnen steht das Verwaltungskreisführungsorgan (VKFO) unter der Leitung einer Chefin oder eines Chefs zur Verfügung. Zur Unterstützung verfügt die Chefin oder der Chef über eine Stabschefin oder einen Stabschef.



3

Im VKFO zwingend vertreten sind die Leiterinnen und Leiter folgender Fachbereiche:





        a
      

        Führungsunterstützung,
      





        b
      

        Information,
      





        c
      

        öffentliche Sicherheit,
      





        d
      

        Schutz und Rettung,
      





        e
      

        Gesundheit,
      





        f
      

        Logistik,
      





        g
      

        Infrastrukturen,
      





        h
      

        Naturgefahren.
      



4

Die Regierungsstatthalterinnen und Regierungsstatthalter ernennen die Chefin oder den Chef sowie die Stabschefin oder den Stabschef VKFO. Sie ernennen auf Antrag der Chefin oder des Chefs VKFO die Leiterinnen und Leiter der Fachbereiche.



5

Die Chefin oder der Chef VKFO setzt die zugewiesenen Schutzdienstpflichtigen der kantonalen Formation zur Führungsunterstützung ein.



6

Die Leiterinnen und Leiter der Fachbereiche benennen nach Rücksprache mit der Chefin oder dem Chef VKFO weitere Fachpersonen.



7

Die Vorsorge-, Vorbereitungs-, und Ausbildungstätigkeiten der VKFO richten sich nach den inhaltlichen und finanziellen Vorgaben des BSM.



8

Die VKFO sind auf der kantonalen Alarmierungsplattform aufgeschaltet.

"
8;"

Art. 8


Gemeindeführungsorgane

";"
1

Dem Gemeinderat steht das Gemeindeführungsorgan (GFO) oder das Regionale Führungsorgan (RFO) unter der Leitung einer Chefin oder eines Chefs zur Verfügung. Zur Unterstützung verfügt die Chefin oder der Chef über eine Stellvertreterin oder einen Stellvertreter sowie über eine Stabschefin oder einen Stabschef.

"
9;"

Art. 9


RFO

";"
1

Die Gemeinden bilden nach Möglichkeit und nach Auswertung der Gefahrenanalyse RFO. Dabei nehmen sie Rücksicht auf den Grenzverlauf der Verwaltungskreise. Die Gemeinden regeln die Ernennungen, die Zuständigkeiten, die Kompetenzen und die finanziellen Belange gemäss den Vorgaben des BSM.

"
10;"

Art. 10


Organisation GFO und RFO

";"
1

In den GFO und RFO zwingend vertreten sind die Leiterinnen und Leiter der in Artikel 7 Absatz 3 aufgeführten Fachbereiche.



2

Die Gemeinden ernennen die Chefin oder den Chef GFO oder RFO sowie die Stabschefin oder den Stabschef. Sie ernennen auf Antrag der Chefin oder des Chefs GFO oder RFO die Leiterinnen und Leiter der Fachbereiche.



3

Die Chefin oder der Chef GFO oder RFO setzt die zugewiesenen Schutzdienstpflichtigen der Gemeinden oder der Region zur Führungsunterstützung ein.



4

Die Leiterinnen und Leiter der Fachbereiche benennen nach Rücksprache mit der Chefin oder dem Chef GFO oder RFO weitere Fachpersonen.



5

Die Gemeinden informieren die Regierungsstatthalterin oder den Regierungsstatthalter sowie das BSM einmal jährlich über die personelle Besetzung ihres Führungsorgans.



6

Die GFO und RFO sind auf der kantonalen Alarmierungsplattform aufgeschaltet.

"
