article_number;article_title;article_text
1;"

Art. 1


 

";"
1

Diese Verordnung regelt die Organisation, Zuständigkeiten, Einsätze, Aus- und Weiterbildung, Dienstgrade und Funktionsbezeichnungen sowie Finanzierung im Bereich Zivilschutz.

"
2;"

Art. 2


Standardstruktur

";"
1

Die Standardstruktur einer Zivilschutzorganisation (ZSO) umfasst





        a
      

        das Kommando,
      





        b
      

        die Führungsunterstützung,
      





        c
      

        den Schutz und die Betreuung,
      





        d
      

        den Kulturgüterschutz,
      





        e
      

        die Unterstützung,
      





        f
      

        die Logistik.
      



2

Ausnahmen von der Standardstruktur und von den in Artikel 47 Absatz 2 KBZG vorgegebenen Mindestbeständen können durch das Amt für Bevölkerungsschutz, Sport und Militär (BSM) bei speziellen topographischen und demographischen Voraussetzungen sowie unter Berücksichtigung der Gefahrenanalyse und Risikobeurteilung bewilligt werden.

"
3;"

Art. 3


Freiwilliger Schutzdienst

";"
1

Personen, die freiwillig Schutzdienst leisten wollen, richten ein schriftliches Gesuch an die zuständige ZSO für Dienstleistungen in regionalen Formationen und an das BSM für Dienstleistungen in den kantonalen Formationen.



2

Dem Gesuch nach Absatz 1 ist die schriftliche Einwilligung des Arbeitgebers beizulegen. Bei einem Wechsel des Arbeitsgebers ist sie erneut einzuholen und der zuständigen ZSO vorzulegen.



3

Die Übernahme des freiwilligen Schutzdienstes gilt nur für die Organisation, die über die Einteilung entschieden hat.



4

Personen, die freiwillig Schutzdienst leisten wollen, müssen im Rekrutierungszentrum die Tauglichkeitsprüfung ablegen und ärztlich als schutzdiensttauglich erklärt werden.

"
4;"

Art. 4


Wohnsitzwechsel

";"
1

Bei einem Wechsel des Wohnsitzes wird die oder der Schutzdienstpflichtige in die zuständige ZSO des neuen Wohnsitzes eingeteilt.



2

Bei Zustimmung der betroffenen ZSO können Schutzdienstpflichtige in einer ZSO ausserhalb des Wohnsitzes eingeteilt werden.



3

Die ZSO der Wohnsitzgemeinde entscheidet über die Einteilung der Schutzdienstpflichtigen.

"
5;"

Art. 5


Polizei- und Militärdirektion

";"
1

Die Polizei- und Militärdirektion, im Einvernehmen mit der Erziehungsdirektion,





        a
      

        legt den Bedarf an kantonalen Kulturgüterschutzräumen zum Schutze der Sammlungen beweglicher Kulturgüter von öffentlichem Interesse fest,
      





        b
      

        ordnet besondere Schutzmassnahmen für gefährdete Kulturgüter an.
      

"
6;"

Art. 6


BSM

";"
1

Das BSM ist die für den Zivilschutz zuständige Stelle der Polizei- und Militärdirektion.



2

Ihm obliegen für den Bereich Zivilschutz namentlich folgende Aufgaben:





        a
      

        Es legt im Zusammenhang mit dem Auftrag des Controllings und der Systemsteuerung die Leistungsindikatoren und Standards namentlich in den Bereichen Ausbildung, Einsatz, Personal und Kontrollführung fest und gibt Empfehlungen zur Materialbeschaffung ab.
      





        b
      

        Es trägt die Verantwortung für einheitliche Ausbildungen (Grundausbildung, Zusatz- und Kaderausbildung sowie Kaderweiterbildung).
      





        c
      

        Es koordiniert die Ausbildung mit dem Bund, den Ausbildungszentren für Zivilschutz des Kantons Bern und den anderen Kantonen.
      





        d
      

        Es überprüft periodisch die Einsatzbereitschaft der ZSO gestützt auf die Vorgaben von Bund und Kanton.
      





        e
      

        Es regelt die Bereitstellung, die Ausrüstung, die Ausbildung und die Kontrollführung der kantonalen Formationen, führt diese und setzt sie ein.
      





        f
      

        Es entscheidet über die Zulassung zum freiwilligen Schutzdienst in den kantonalen Formationen.
      





        g
      

        Es ist verantwortlich für die Einhaltung der gesetzlich festgelegten Obergrenzen bezüglich zulässiger Diensttage der Schutzdienstpflichtigen der kantonalen Formationen.
      





        h
      

        Es koordiniert die überörtliche Hilfeleistung beim Einsatz von Zivilschutzformationen.
      





        i
      

        Es genehmigt die Organisationsstruktur und die Bestandestabelle der ZSO.
      





        k
      

        Es beurteilt und bewilligt die Einsätze der ZSO zugunsten der Gemeinschaft anhand der eidgenössischen Verordnung vom 6. Juni 2008 über Einsätze des Zivilschutzes zugunsten der Gemeinschaft (VEZG)[2] durch Verfügung.
      





        l
      

        Es beurteilt und bewilligt Instandstellungsarbeiten und entscheidet über Ausnahmeregelungen.
      





        m
      

        Es beurteilt und bewilligt die Gesuche um vorzeitige Entlassung aus der Schutzdienstpflicht zugunsten von Partnerorganisationen gemäss Artikel 20 des Bundesgesetzes vom 4. Oktober 2002 über den Bevölkerungsschutz und den Zivilschutz (Bevölkerungs- und Zivilschutzgesetz, BZG)[3].
      





        n
      

        Es entscheidet über Schadenersatzansprüche und Rückgriffsforderungen betreffend Schäden, die bei Schutzdienstleistungen von Zivilschutzangehörigen in seinem Zuständigkeitsbereich entstanden sind.
      





        o
      

        Es erlässt Weisungen in seinem Zuständigkeitsbereich.
      



3

Dem BSM obliegen, im Einvernehmen mit dem Amt für Kultur, im Kulturgüterschutz folgende Aufgaben:





        a
      

        Es berät und unterstützt Vollzugsorgane und Private in Fragen des Kulturgüterschutzes.
      





        b
      

        Es sorgt für den Vollzug der Kulturgüterschutzmassnahmen des Zivilschutzes durch die zuständigen Stellen.
      





        c
      

        Es erlässt Weisungen im Kulturgüterschutz.
      

"
7;"

Art. 7


Amt für Kultur

";"
1

Das Amt für Kultur





        a
      

        bezeichnet die im Kanton Bern liegenden Kulturgüter von nationaler und regionaler Bedeutung und beantragt beim Bundesamt für Bevölkerungsschutz deren Aufnahme ins Schweizerische Inventar der Kulturgüter von nationaler und regionaler Bedeutung,
      





        b
      

        erstellt und verwaltet die entsprechenden Sicherstellungsdokumentationen,
      





        c
      

        unterstützt die Gemeinden bei der Auswahl und Dokumentation der zu schützenden Kulturgüter von lokaler Bedeutung.
      

"
8;"

Art. 8


Staatsarchiv

";"
1

Das Staatsarchiv ist die Fachstelle für die Betreuung der archivalischen Kulturgüter.



2

Die Aufgaben des Staatsarchivs im Kulturgüterschutz richten sich nach dem Gesetz vom 31. März 2009 über die Archivierung (ArchG)[4].

"
9;"

Art. 9


Fachausschuss Zivilschutz (FAZS)

";"
1

Der Fachausschuss Zivilschutz (FAZS) wird vom BSM zur Beratung von Grundsatzfragen des Zivilschutzes und von konkreten Projekten konsultiert. Dessen Mitglieder sind zudem für die Information der Zivilschutzkommandantinnen und Zivilschutzkommandanten in ihrer Verwaltungsregion zuständig.



2

Der FAZS besteht aus





        a
      

        je einer delegierten Zivilschutzkommandantin oder einem delegierten Zivilschutzkommandanten der fünf Verwaltungsregionen,
      





        b
      

        einer Vertreterin oder einem Vertreter der regionalen Ausbildungszentren,
      





        c
      

        einer Delegierten oder eines Delegierten des bernischen Zivilschutzverbandes sowie
      





        d
      

        Vertreterinnen und Vertretern des BSM.
      



3

Das BSM leitet den FAZS und führt dessen Sekretariat.



4

Die Mitglieder des FAZS sowie allfällig beigezogene Expertinnen und Experten werden gemäss der Verordnung vom 2. Juli 1980 über die Taggelder und Reiseentschädigungen der Mitglieder staatlicher Kommissionen[5] entschädigt.

"
10;"

Art. 10


Gemeinden

";"
1

Die Gemeinden sind namentlich verantwortlich für





        a
      

        die Bereitstellung der personellen und materiellen Mittel, die ausreichen, um eine Katastrophe oder Notlage in der Gemeinde im Verbund des Bevölkerungsschutzes gemäss Gefahrenanalyse zu bewältigen,
      





        b
      

        die Bereitstellung der personellen und materiellen Mittel, um im Rahmen der erhöhten Bereitschaft durch den Kanton koordiniert überörtlich eingesetzt werden zu können,
      





        c
      

        die Bereitstellung der personellen und materiellen Mittel, um gemäss Artikel 9 KBZG durch den Kanton koordiniert überörtlich eingesetzt werden zu können,
      





        d
      

        die Ausbildung der Schutzdienstpflichtigen gemäss Artikel 60 KBZG,
      





        e
      

        die Bewilligung von freiwilligem Schutzdienst in den ZSO,
      





        f
      

        die Regelung der Aufgebots- und Finanzkompetenzen,
      





        g
      

        die Regelung der Pflichten und Befugnisse der Kommandantin oder des Kommandanten der ZSO, der Leiterin oder des Leiters der Zivilschutzgeschäftsstelle sowie deren Stellvertreterinnen oder Stellvertreter,
      





        h
      

        die Wahl und die Ernennung der Kommandantin oder des Kommandanten der ZSO, der Leiterin oder des Leiters der Zivilschutzgeschäftsstelle sowie deren Stellvertreterinnen oder Stellvertreter,
      





        i
      

        die Einhaltung der gesetzlich festgelegten Obergrenzen bezüglich zulässiger Diensttage der Schutzdienstpflichtigen,
      





        k
      

        die Erfassung der geleisteten Diensttage im Personalinformationssystem der Armee PISA gemäss den Vorgaben des Bundes und des BSM,
      





        l
      

        der Entscheid über Schadenersatzansprüche und Rückgriffsforderungen betreffend Schäden, die bei Schutzdienstleistungen von Zivilschutzangehörigen in ihrem Zuständigkeitsbereich entstanden sind.
      



2

Im Weiteren sind die Gemeinden verantwortlich für





        a
      

        das Vorgehen bei der Zusammenlegung von ZSO mehrerer Gemeinden,
      





        b
      

        die Bezeichnung der Kulturgüter von lokaler Bedeutung und die Genehmigung der entsprechenden Verzeichnisse.
      

"
