article_number;article_title;article_text
1 *;"

Art. 1 *


      …
    
";
2;"

Art. 2


Anwendung

";"
1

Bei Gewässern, die durch das Wasserbaugesetz[2], den Gewässerrichtplan oder durch Beschluss des Regierungsrates für den Unterhalt, den Wasserbau und die Aufsicht einer andern als der Bau-, Verkehrs- und Energiedirektion unterstellt sind, wenden diese Direktionen das Wasserbaugesetz und diese Verordnung sinngemäss an, soweit die andern Gesetze (Art. 4 Abs. 1 WBG[3]) nichts anderes vorsehen. *

"
2a *;"

Art. 2a *


Zuständigkeiten

";"
1

Innerhalb der Bau-, Verkehrs- und Energiedirektion ist das Amt für Wasser und Abfall für die Wasserstandsregulierung gemäss Artikel 4 Absatz 3 WBG und für die Wasserbaupflicht an den Gewässern der I. und II. Juragewässerkorrektion zuständig. *



2

Das Tiefbauamt ist für alle übrigen Wasserbauaufgaben der Bau-, Verkehrs- und Energiedirektion zuständig, namentlich: *





        a
      

        es genehmigt die Reglemente der Gemeindeverbände (Art. 11 Abs. 2 WBG),
      





        b *


        es entscheidet über die Anordnung des Zusammenschlusses zu einem Gemeindeverband, die Entlassung einzelner Gemeinden oder Schwellenkorporationen aus dem Gemeindeverband und die Auflösung des Gemeindeverbandes (Art. 11a WBG),
      





        c
      

        es genehmigt die Reglemente der Schwellenkorporationen (Art. 12 Abs. 3 WBG),
      





        d
      

        es entbindet vom Erfordernis eines Wasserbauplanes nach Artikel 20 Absatz 2 Buchstabe b WBG,
      





        e
      

        es genehmigt die Wasserbaupläne der Gemeinden, Gemeindeverbände und Schwellenkorporationen (Art. 25 Abs. 4 WBG) und setzt sich mit den Einsprachen auseinander (Art. 25 Abs. 6 WBG),
      





        f
      

        es genehmigt geringfügige Änderungen der Wasserbaupläne der Gemeinden, Gemeindeverbände und Schwellenkorporationen (Art. 28 Abs. 3 WBG),
      





        g
      

        es entzieht den Wasserbauplänen der Gemeinden, Gemeindeverbände und Schwellenkorporationen nach Artikel 29 Absatz 1 WBG die Genehmigung,
      





        h
      

        es erteilt Wasserbaubewilligungen nach Artikel 31 Absatz 4 WBG,
      





        i
      

        es kann Wasserbaubewilligungen widerrufen (Art. 32 WBG),
      





        k *


        es entscheidet über Gesuche für die vorzeitige Ausführung geplanter Massnahmen im Sinne von Artikel 33 Absatz 1 WBG,
      





        l *


        es kann eine Gemeinde zu angemessenen Beiträgen an die Wasserbaukosten einer anderen Gemeinde oder des dortigen Erfüllungspflichtigen verpflichten (Art. 37c WBG),
      





        m *


        es erlässt Verfügungen betreffend Mehrkosten von Gewässerunterhalt oder Wasserbau, wenn eine Wassernutzungsanlage solche nach sich zieht (Art. 40 WBG),
      





        n *


        es veranlasst bei Vernachlässigung der Wasserbaupflicht das Nötige (Art. 45 WBG),
      





        o *


        es ordnet die Einstellung der Arbeiten und die Wiederherstellung des rechtmässigen Zustandes an (Art. 46 WBG),
      





        p *


        es übt die Wasserbaupolizei aus (Art. 47 WBG),
      





        q *


…






        r *


        es erteilt Konzessionen oder Bewilligungen nach Artikel 49 WBG.
      



3

Das Fischereiinspektorat und die Abteilung Naturförderung sind die nach Artikel 20 Absatz 2 Buchstabe b des Wasserbaugesetzes zuständigen Stellen der Volkswirtschaftsdirektion. *

"
2b *;"

Art. 2b *


Gewässer mit erhöhtem Koordinationsbedarf

";"
1

Gewässer mit erhöhtem Koordinationsbedarf sind





        a
      

        Alte Aare mit Lyssbach,
      





        b
      

        Birs,
      





        c
      

        Chise,
      





        d
      

        Emme,
      





        e
      

        Gürbe,
      





        f
      

        Kander,
      





        g
      

        Langete,
      





        h
      

        Limpach-Kanal,
      





        i
      

        Lütschine,
      





        k
      

        Murg mit Rot,
      





        l
      

        Saane unterhalb des Schiffenenstaudamms,
      





        m
      

        Schüss,
      





        n
      

        Sense,
      





        o
      

        Simme,
      





        p
      

        Urtenenbach,
      





        q
      

        Worble.
      

"
3 *;"

Art. 3 *


      …
    
";
4;"

Art. 4


Unterhalt
      1 Erneuerungsarbeiten geringen Ausmasses (Art. 6 Abs. 3 Bst. b WBG) *

";"
1

Punktuelle Erneuerungsarbeiten an Wasserbauwerken, wie die Sanierung von Uferanrissen, das Reparieren schadhafter Stellen (Ersetzen von Blocksteinen, Auswechseln von Längshölzern, Ausbessern von Ufermauern und ähnliches), Unterfangungen und die naturnähere Gestaltung sind grundsätzlich von geringem Ausmass im Sinne von Artikel 6 Absatz 3 Buchstabe b des Wasserbaugesetzes[4].



2

Als Wasserbauwerk im Sinne von Absatz 1 gilt der Uferabschnitt, der gleichartig verbaut ist. Als gleichartig gelten jeweils unter sich alle Arten von Betonmauern, Pflästerungen, Uferrollierungen, Blocksatz oder kombinierten Verbauungen (Block und Holz mit Bestockung, Lebendverbau) und dergleichen.



3

Zeitlich und sachlich zusammenhängende Erneuerungsarbeiten sind als Einheit zu betrachten.



4

Die Erneuerungsarbeiten gelten jedoch nicht mehr als gering, wenn der Aufwand dafür mehr als ein Viertel der Kosten des vollen Ersatzes des Wasserbauwerkes beträgt.



5

Unabhängig von diesem Kostenverhältnis gilt als gering der gleichartige Ersatz von einzelnen Blockrampen, Tromholzschwellen, Block- oder Holzüberfällen und ähnlichem, sofern die Fischwanderung durch die Überfallhöhe nicht beeinträchtigt ist.

"
5;"

Art. 5


2 Weiterer Unterhalt *

";"
1

Vorkehren im Sinne von Artikel 6 Absatz 2 und 3 des Wasserbaugesetzes[5] sind beispielsweise auch das Einhicken der Ufergehölze, das Einhängen von Rauhbäumen, das Ausbessern kleiner Uferanrisse, das Erstellen kleiner Blockrampen oder das Errichten einzelner Tromholzschwellen, Block- oder Holzüberfälle, sofern die Arbeiten auf naturnahe Art und Weise ausgeführt werden und die Fischwanderung nicht beeinträchtigt wird.

"
6;"

Art. 6


Überflutungsgebiete

";"
1

Überflutungsgebiete können ausgeschieden werden, wenn keine Menschen und keine wesentlichen Bauten oder Anlagen ernsthaft gefährdet werden und die zu erwartende Überflutungshäufigkeit die landwirtschaftliche Nutzung nicht in unzumutbarem Masse beeinträchtigt.



2

Die Ausscheidung von Überflutungsgebieten kann mit den erforderlichen Nutzungsbeschränkungen verbunden werden.

"
7;"

Art. 7


Schwemmholzbeseitigung auf Seen *

";"
1

Für den Einsatz der Schwemmholzsperren auf den Seen ist die Kantonspolizei (Seepolizei) zuständig. *



2

Für die Entnahme und Verwertung des Schwemmholzes aus den Schwemmholzsperren ist das Amt für Wasser und Abfall zuständig. *



3

Für die Beseitigung von Schwemmholz im Uferbereich (im Wasser) ist das Amt für Wasser und Abfall zuständig, sofern dieses Schwemmholz unter Artikel 6 Absatz 4 WBG fällt. *



4

Für die Bergung und Entsorgung von Schwemmholz aus Häfen sind die Hafenbetreiberinnen und Hafenbetreiber zuständig. *



5

Für die Bergung und Entsorgung von gestrandetem Schwemmholz in kantonalen Naturschutzgebieten ist das Amt für Landwirtschaft und Natur zuständig. *



6

Für die Bergung und Entsorgung von gestrandetem Schwemmholz an den übrigen Ufern sind die Eigentümerin oder der Eigentümer bzw. die Baurechtsinhaberin oder der Baurechtsinhaber des Ufergrundstücks zuständig. *

"
8;"

Art. 8


Massnahmen von geringer wasserbaulicher Bedeutung (Art. 20 Abs. 2 WBG)

";"
1

Zu den Massnahmen von geringer wasserbaulicher Bedeutung im Sinne von Artikel 20 Absatz 2 Buchstabe a des Wasserbaugesetzes[6] gehören vor allem





        a
      

        Vorhaben, welche die Abflussverhältnisse nicht wesentlich beeinflussen;
      





        b
      

        Vorhaben, welche die Böschung und die Sohle nicht wesentlich verändern.
      



2

Mehrere sachlich und zeitlich zusammenhängende Massnahmen gelten als ein einziges Vorhaben.

"
9;"

Art. 9


Erlass des Gewässerrichtplans
      1 Grundlagen, Konzepte, Entwurf

";"
1

Bei der Erarbeitung der Grundlagen und Konzepte und des Entwurfs zum Gewässerrichtplan arbeitet das Tiefbauamt mit allen am Wasserbau interessierten Stellen, wie dem Amt für Gemeinden und Raumordnung, dem Amt für Landwirtschaft und Natur, dem Amt für Wald sowie dem Amt für Wasser und Abfall zusammen, falls diese betroffen sind. *



2

Es zieht die betroffenen Gemeinden und Regionen und weitere interessierte Stellen bei. *

"
10;"

Art. 10


2 Mitwirkungsverfahren

";"
1

Das Tiefbauamt führt das Mitwirkungsverfahren in sinngemässer Anwendung von Artikel 58 des Baugesetzes[7] durch.

"
11;"

Art. 11


3 Beschluss

";"
1

Nach Bereinigung des Entwurfs durch das Tiefbauamt führt die Bau-, Verkehrs- und Energiedirektion das Mitberichtsverfahren unter den Direktionen durch und stellt dem Regierungsrat Antrag. *



2

Der Regierungsrat beschliesst kantonal letztinstanzlich über den Gewässerrichtplan. *

"
