article_number;article_title;article_text
1;"

Art. 1


Zweck

";"
1

Dieses Gesetz regelt





        a
      

        das Verhältnis zwischen dem Kanton und den Wasserversorgungen,
      





        b
      

        die Rechte und Pflichten der Wasserversorgungen,
      





        c
      

        das Verhältnis zwischen den Wasserversorgungen und den Wasserbezügerinnen und -bezügern sowie
      





        d
      

        das Verhältnis der Wasserversorgungen unter sich.
      

"
2;"

Art. 2


Geltungsbereich

";"
1

Dieses Gesetz ist auf alle Wasserversorgungen im Sinne dieses Gesetzes anwendbar.



2

Wasserversorgungen sind die öffentlichrechtlichen und privatrechtlichen Wasserversorgungen, die Erschliessungsanlagen gemäss Baugesetz erstellen und betreiben und das Wasser gegen Beiträge und Gebühren abgeben.

"
3;"

Art. 3


Aufgaben

";"
1

Dem Kanton obliegt





        a
      

        die Unterstützung und Beratung der Wasserversorgungen,
      





        b
      

        die Koordination der Planungen zwischen mehreren Wasserversorgungen,
      





        c
      

        die Prüfung und Genehmigung der Generellen Wasserversorgungsplanungen der Wasserversorgungen,
      





        d
      

        die Erstellung von regionalen Wasserversorgungsplanungen in Zusammenarbeit mit den Gemeinden,
      





        e
      

        der Vollzug der Bundesvorschriften über die Trinkwasserversorgung in Notlagen,
      





        f
      

        die Bereitstellung von hydrogeologischen Grundlagen für die Wasserbeschaffung und
      





        g
      

        die Ausscheidung von Schutzarealen für ungenutzte Quellen und Grundwasservorkommen, die für die zukünftige Wasserbeschaffung benötigt werden.
      

"
4 *;"

Art. 4 *


Wasserfonds

";"
1

Der Kanton führt als Spezialfinanzierung einen Wasserfonds, der von der zuständigen Stelle der Bau-, Verkehrs- und Energiedirektion (BVE) verwaltet wird.



2

Der Wasserfonds wird durch die einmaligen und jährlichen Konzessionsabgaben gespeist, die für die Nutzung von öffentlichem Wasser als Trinkwasser erhoben werden. Sein Bestand beträgt höchstens zehn Millionen Franken.



3

Die Fondsmittel sind zu verzinsen und die Zinsen sind dem Wasserfonds gutzuschreiben.

"
5 *;"

Art. 5 *


Beiträge
      1 Grundsatz

";"
1

Beiträge an Wasserversorgungen aus dem Wasserfonds werden unter den Voraussetzungen gemäss Artikel 5a geleistet an





        a
      

        die Erstellung, Erneuerung und Erweiterung aller Wasserversorgungsanlagen, ohne die Leitungen und Hydranten in den Versorgungsgebieten,
      





        b
      

        die Hälfte der Kosten von Transportleitungen in den Versorgungsgebieten, die gleichzeitig der Versorgung dienen,
      





        c
      

        Studien, Konzepte und hydrogeologische Untersuchungen, soweit der Kanton diese nicht selbst durchführt,
      





        d
      

        die Übernahme privater beitragsberechtigter Anlagen gemäss Buchstaben a und b,
      





        e
      

        den Einkauf in bestehende Wasserversorgungsanlagen,
      





        f
      

        Vorfinanzierungen von Leistungsreserven, für die noch keine Trägerschaft zur Verfügung steht,
      





        g
      

        die Beteiligung an Wasserversorgungen zur Sicherstellung nachträglicher Beitritte,
      





        h
      

        die Ausscheidung von Grundwasser- und Quellschutzzonen und den Erwerb dinglicher Rechte.
      

"
5a *;"

Art. 5a *


2 Voraussetzungen

";"
1

Beiträge werden ausgerichtet, wenn





        a
      

        der Beitragssatz gemäss Artikel 5b Absatz 1 mindestens 25 Prozent beträgt,
      





        b
      

        das Projekt auf einer zweckmässigen Planung beruht, dem Stand der Technik entspricht und wirtschaftlich ist,
      





        c
      

        die geplanten Erweiterungen oder Änderungen eigener Anlagen an Stelle einer Zusammenarbeit mit andern Wasserversorgungen notwendig sind,
      





        d
      

        die Mitsprache des Kantons beim Bau gewährleistet ist und
      





        e
      

        die nötigen Fondsmittel vorhanden sind.
      



2

Unabhängig vom Mindestbeitragssatz gemäss Absatz 1 Buchstabe a werden Beiträge ausgerichtet an





        a
      

        die generelle Wasserversorgungsplanung,
      





        b
      

        Anlagen, die neuen oder der Erweiterung von bestehenden zwischengemeindlichen Zusammenschlüssen der Wasserversorgungen dienen,
      





        c
      

        besonders kostspielige oder für die Beurteilung des Grundwasservorkommens wichtige hydrogeologische Untersuchungen.
      



3

Aus dem Wasserfonds finanziert wird zudem die Mehrwertsteuer, die auf den Abgaben erhoben und von den Abgabepflichtigen geschuldet wird. *



4

Die durch die Verwaltung verursachten Kosten gehen zu Lasten des Wasserfonds.



5

Die Artikel 21 bis 27 des Staatsbeitragsgesetzes[3]vom 16. September 1992 über die Sicherung des Beitragszweckes sind sinngemäss anwendbar.

"
5b *;"

Art. 5b *


3 Bemessung

";"
1

Der Beitragssatz an die anrechenbaren Kosten wird in Abhängigkeit der jährlichen Werterhaltungskosten und der versorgten ständigen und nicht ständigen Einwohner in den einzelnen Wasserversorgungen gemäss nachfolgender Tabelle bestimmt:



2

Die Werterhaltungskosten ergeben sich aus dem Beschaffungswert der gemäss der Generellen Wasserversorgungsplanung wieder zu beschaffenden und neu zu erstellenden Anlagen, multipliziert mit der gemittelten Erneuerungsrate.



3

Erstreckt sich eine Wasserversorgung über mehrere Gemeinden oder innerhalb einer Gemeinde über mehrere Ortschaften, ergibt sich der Beitragssatz aus dem gewogenen Mittel der einzelnen Beitragssätze und Werterhaltungskosten.



4

Ein Zuschlag von höchstens 15 Prozent zum ordentlichen Beitragssatz kann ausgerichtet werden





        a
      

        bei Anlagen, die im Verhältnis zu ihrer Leistungfähigkeit besonders aufwändig sind,
      





        b
      

        bei ungünstigen hydrogeologischen Verhältnissen oder anderen Standortnachteilen,
      





        c
      

        zur Förderung von gemeinsamen Anlagen mehrerer Wasserversorgungen.
      



5

Aus dem Wasserfonds können die Aufgaben gemäss Artikel 3 Buchstaben d bis g vollständig finanziert werden.



6

Das Nähere regelt der Regierungsrat durch Verordnung.

"
5c *;"

Art. 5c *


4 Höchstansätze

";"
1

Die Beiträge aus dem Wasserfonds dürfen höchstens 50 Prozent der beitragsberechtigten Kosten betragen. Sämtliche Beiträge von Bund, Kanton und der Gebäudeversicherung dürfen zudem insgesamt nicht mehr als 80 Prozent der anrechenbaren Kosten betragen.



2

Werden Beiträge nach der kantonalen Landwirtschaftsgesetzgebung ausgerichtet, darf zudem der Beitrag des Kantons an die einzelnen Anlageteile 50 Prozent nicht überschreiten. Werden Bundesbeiträge nach der Landwirtschaftsgesetzgebung ausgerichtet, dürfen die kantonalen Beiträge 40 Prozent nicht übersteigen.



3

Beitragsgesuche nach Absatz 2 sind unter Mitwirkung der zuständigen Stelle der BVE von der zuständigen Stelle der Volkswirtschaftsdirektion zu behandeln.

"
6;"

Art. 6


Organisation

";"
1

Die Wasserversorgung samt Hydrantenlöschschutz gemäss der Feuerschutz- und Feuerwehrgesetzgebung ist eine Gemeindeaufgabe. *



2

Die Gemeinden können diese Aufgabe anderen öffentlich- oder privatrechtlichen Organisationen übertragen. Diese sind hinsichtlich ihrer Rechte und Pflichten den Gemeinden gleichgestellt.



3

Zu gemeinsamen Wasserversorgungen können sich zusammenschliessen





        a
      

        die Gemeinden als Gemeindeverbände oder geeignete privatrechtliche Organisationen,
      





        b
      

        die andern Wasserversorgungen in geeigneten privatrechtlichen Organisationen.
      



4

Bei privatrechtlichen Organisationen, deren Mitgliedschaft nicht an den Wasserbezug gebunden ist, dürfen Private insgesamt nicht über die Stimmenmehrheit verfügen. *



5

Die Wasserversorgungen können untereinander Wasserlieferungs- oder Beteiligungsverträge abschliessen.[4]



6

Die Organisationsgrundlagen von Gemeindeverbänden und von privatrechtlichen Organisationen sowie die Verträge zum Erstellen und Betreiben von Anlagen regionaler Bedeutung bedürfen zu ihrer Gültigkeit der Genehmigung durch die zuständige Stelle der BVE.[5]

"
7;"

Art. 7


Stellung der Wasserversorgungen

";"
1

Innerhalb des Versorgungsgebietes der Wasserversorgungen gemäss Artikel 6 dürfen keine anderen Wasserversorgungen neu aufgebaut oder erweitert werden. Vorbehalten bleiben Artikel 14 Absatz 2 und Artikel 15 Absatz 2.



2

Wenn der Anschluss an die Wasserversorgung zumutbar ist, dürfen keine Neuanschlüsse an andere Wasserversorgungen vorgenommen werden.



3

Die Wasserversorgungen gemäss Artikel 6 sind verpflichtet, bestehende Liegenschaften anzuschliessen, wenn die Eigentümerinnen und Eigentümer darauf Anspruch haben und diesen geltend machen.

"
