article_number;article_title;article_text
1;"

Art. 1


Waldfeststellungen
      1. Im Allgemeinen *

";"
1

Das Amt für Wald (KAWA) nimmt Waldfeststellungen vor, die im Zusammenhang mit Rodungsverfahren stehen.



2

Die Waldabteilung ist zuständig für die übrigen Waldfeststellungen.



3

Waldfeststellungen sind für kommende Ortsplanungen nach Artikel 2 verbindlich.

"
2 *;"

Art. 2 *


2. Im Zusammenhang mit Ortsplanungen

";"
1

Beim Erlass oder der Revision von Nutzungsplänen stellt die Waldabteilung auf Antrag der Gemeinde möglichst frühzeitig fest, ob Wald an bestehende oder zukünftige Bauzonen grenzt, und bezeichnet gegebenenfalls den Verlauf dieser Grenzen mittels Verpflockung oder auf andere geeignete Weise im Gelände.



2

Die Gemeinde lässt diese Waldgrenzen durch eine Fachperson für digitale Erfassung und Nachführung gemäss den Vorgaben des KAWA digital erfassen.



3

Sie trägt diese Waldgrenzen in einen Plan ein, den sie spätestens zusammen mit dem Nutzungsplan während mindestens 30 Tagen unter Hinweis auf die Einsprachemöglichkeit öffentlich auflegt.



4

Sie führt gemeinsam mit der Waldabteilung die Einspracheverhandlungen durch.



5

Der Plan gemäss Absatz 2 bedarf der Genehmigung des KAWA. Dieses setzt sich mit den Einsprachen auseinander.



6

Die Gemeinde überträgt die rechtskräftig festgestellten Waldgrenzen in den Nutzungsplan.



7

Wird der Plan zusammen mit dem Nutzungsplan aufgelegt, sind die Genehmigungs- und Beschwerdeentscheide zeitlich aufeinander abzustimmen.

"
3;"

Art. 3


Waldgrenze

";"
1

Die Waldgrenze zu offenem Land verläuft in der Regel drei Meter ausserhalb der Linie, welche die Stockmitten der äussersten Bäume bzw. Wurzelstöcke oder Sträucher miteinander verbindet, oder entlang der Parzellengrenze, wenn diese innerhalb der drei Meter verläuft.

"
4;"

Art. 4


Wytweide

";"
1

Die Wytweideflächen sind im Regionalen Waldplan auszuweisen. Der Flächenanteil ihrer Bestockungen ist festzuhalten.



2

Dieser Flächenanteil ist langfristig zu erhalten, während die räumliche Verteilung der Bestockungen ändern darf.

"
5;"

Art. 5


Holzförderung

";"
1

Der Kanton fördert die Verwendung von einheimischem Holz als Bau- und Werkstoff sowie als Energieträger bei all seinen Tätigkeiten. Er unterstützt Massnahmen zur Förderung der Holzverwendung sowie der Holzforschung. *



2

Bei der Projektierung von kantonalen und vom Kanton zu mindestens zehn Prozent subventionierten Bauten ist die Holzbauweise zu prüfen. Dabei sind auch ökologische Kriterien zu berücksichtigen.

"
6;"

Art. 6


Regionaler Waldplan

";"
1

Der Regionale Waldplan enthält insbesondere





        a
      

        Angaben über den Waldzustand, die Standortverhältnisse, die bisherige Bewirtschaftung und die Waldfunktionen,
      





        b
      

        Ziele, Entwicklungsabsichten und Kontrollgrössen für die nachhaltige Entwicklung,
      





        c
      

        Grundsätze und Rahmenbedingungen für die Waldbewirtschaftung und -pflege,
      





        d
      

        Ansprüche an den Wald und ihre Gewichtung,
      





        e
      

        Übersicht und Informationen zu Waldflächen mit besonderen Bewirtschaftungsvorschriften,
      





        f
      

        Angaben über die Koordination der Vorhaben und
      





        g
      

        Darstellungen von offenen Konflikten sowie möglichen Lösungswegen.
      



2

Erstellung, Nachführung und Umsetzung des Regionalen Waldplanes ist Sache der Waldabteilung.



3

Spätestens nach 15 Jahren ist zu prüfen, ob der Regionale Waldplan zu revidieren ist.



4

Bei wesentlichen Änderungen der Verhältnisse ist eine vorzeitige Anpassung vorzunehmen.

"
7;"

Art. 7


Mitwirkungsmöglichkeiten

";"
1

Die Waldabteilung informiert die Waldeigentümerinnen und -eigentümer und die übrige Bevölkerung sowie die Gemeinden und die kantonalen Fachstellen frühzeitig über Erstellung oder Revision des Regionalen Waldplans.



2

Zur Begleitung der Planung zieht sie die Waldeigentümerinnen und Waldeigentümer sowie weitere betroffene Kreise und die kantonalen Fachstellen bei. *



3

Der Regionale Waldplan wird nach vorgängiger Publikation im Amtsblatt und in den Amtsanzeigern ganz oder in Teilabschnitten an geeigneten Orten während mindestens 30 Tagen zur öffentlichen Mitwirkung aufgelegt.



4

Im Rahmen der Mitwirkung können von jedermann Einwendungen erhoben und Anregungen unterbreitet werden. Sie sind der Volkswirtschaftsdirektion in geeigneter Form zur Kenntnis zu bringen. *

"
8 *;"

Art. 8 *


Forstbetriebliches Planungswerk (Betriebsplan)

";"
1

Ein forstbetriebliches Planungswerk konkretisiert die Vorgaben aus dem regionalen Waldplan oder legt eine mittel- bis langfristige Entwicklungsabsicht auf einer bestimmten Waldfläche fest.



2

Es wird durch die Waldeigentümerin oder den Waldeigentümer oder eine forstliche Trägerschaft ausgearbeitet und kann ganz oder teilweise der Waldabteilung zur Genehmigung unterbreitet werden.



3

Die genehmigten Teile des forstbetrieblichen Planungswerks sind für die nach Absatz 2 Beteiligten verbindlich.



4

Wo Dritte betroffen sind, richtet sich das Genehmigungsverfahren sinngemäss nach Artikel 49 KWaG[2].

"
9;"

Art. 9


Naturnahe Bewirtschaftung

";"
1

Die naturnahe Bewirtschaftung des Waldes bezweckt





        a
      

        die natürliche Verjüngung,
      





        b
      

        eine ausgewogene Altersstruktur,
      





        c
      

        eine natürliche Artenzusammensetzung und -vielfalt mit standortgerechten Baumarten und
      





        d
      

        die Schonung der Vegetation, des Bodens und schützenswerter Biotope.
      

"
10;"

Art. 10


Bewirtschaftung von Wytweiden

";"
1

Wytweiden sind extensiv zu bewirtschaften.



2

Zur Verjüngung und Erhaltung der Bestockung kann die Waldabteilung waldbauliche Massnahmen anordnen und die Beweidung mit bestimmten Tierarten einschränken oder zeitweise untersagen.

"
