article_title;article_text
Art. 1;"Dieses Gesetz regelt: a.die Zusammenarbeit von Bund und Kantonen im Bevölkerungsschutz;b.den Zivilschutz."
Art. 2 Zweck;Zweck des Bevölkerungsschutzes ist es, die Bevölkerung und ihre Lebensgrundlagen bei Katastrophen und in Notlagen sowie im Falle bewaffneter Konflikte zu schützen sowie zur Begrenzung und Bewältigung von Schadenereignissen beizutragen.
Art. 3 Partnerorganisationen;"Im Bevölkerungsschutz arbeiten als Partnerorganisationen zusammen: a.die Polizei zur Aufrechterhaltung von Sicherheit und Ordnung;b.die Feuerwehr für die Rettung und die allgemeine Schadenwehr;c.das Gesundheitswesen, einschliesslich des sanitätsdienstlichen Rettungswesens, zur medizinischen Versorgung der Bevölkerung;d.die technischen Betriebe zur Gewährleistung der technischen Infrastruktur, insbesondere der Elektrizitäts-, Wasser- und Gasversorgung, der Entsorgung sowie der Verkehrsverbindungen und der Telematik;e.der Zivilschutz zum Schutz der Bevölkerung, zur Betreuung von Schutz suchenden Personen, zum Schutz der Kulturgüter, zur Unterstützung der Führungsorgane und der andern Partnerorganisationen sowie für Instandstellungsarbeiten und für Einsätze zu Gunsten der Gemeinschaft."
Art. 4 Führungsorgane;"Die zuständigen Behörden bilden Führungsorgane für die folgenden Aufgabenbereiche: a.Sicherstellung der Information der Bevölkerung über Gefährdungen, Schutzmöglichkeiten und Schutzmassnahmen;b.Warnung und Alarmierung sowie Erteilung von Verhaltensanweisungen an die Bevölkerung;c.Sicherstellung der Führungstätigkeit;d.Koordination der Vorbereitungen und der Einsätze der Partnerorganisationen;e.Sicherstellung einer zeit- und lagegerechten Bereitschaft sowie der personellen und materiellen Verstärkung des Bevölkerungsschutzes im Hinblick auf bewaffnete Konflikte."
Art. 5 Aufgaben des Bundes;"1 Im Einvernehmen mit den Kantonen kann der Bund die Koordination und allenfalls die Führung bei Ereignissen übernehmen, die mehrere Kantone, die ganze Schweiz oder das grenznahe Ausland betreffen. 2 Er unterstützt die Kantone mit spezialisierten Einsatzmitteln. 3 Der Bundesrat sorgt für die Koordination im Bevölkerungsschutz und für dessen Koordination mit anderen sicherheitspolitischen Instrumenten. 4 Er überprüft die Zusammenarbeit des Bevölkerungsschutzes mit den anderen sicherheitspolitischen Instrumenten und regelt die Ausbildungszusammenarbeit. 5 Er regelt die Warnung und Alarmierung der Behörden und der Bevölkerung bei drohenden Gefahren. Er kann dem Bundesamt für Bevölkerungsschutz (BABS) Rechtsetzungskompetenzen übertragen zur Regelung: a.der Zuständigkeiten und Abläufe bei der Warnung und Alarmierung;b.der Verbreitung von Verhaltensanweisungen im Rahmen des Bevölkerungsschutzes;c.der technischen Aspekte in Zusammenhang mit den Systemen zur Warnung der Behörden und zur Alarmierung der Bevölkerung.2 6 Er trifft Massnahmen zur Verstärkung des Bevölkerungsschutzes im Hinblick auf bewaffnete Konflikte. 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055).2 Fassung gemäss Anhang Ziff. 7 des BG vom 18. März 2016, in Kraft seit 1. Jan. 2017 (AS 2016 4277; BBl 2014 6955)."
Art. 6 Aufgaben der Kantone;1 Die Kantone regeln insbesondere die Ausbildung, die zeit- und lagegerechte Führung sowie den Einsatz der Partnerorganisationen im Bevölkerungsschutz. 2 Sie regeln die interkantonale Zusammenarbeit.
Art. 7 Zusammenarbeit von Bund und Kantonen;Im Rahmen ihrer Zuständigkeiten arbeiten der Bund und die Kantone zusammen, namentlich in den Bereichen der konzeptionellen Weiterentwicklung des Bevölkerungsschutzes, der Information und der internationalen Zusammenarbeit.
Art. 8 Forschung und Entwicklung;1 Der Bund sorgt in Zusammenarbeit mit den Kantonen für die Forschung und Entwicklung im Bevölkerungsschutz, insbesondere in den Bereichen der Gefährdungsanalyse und der Bewältigung von Katastrophen und Notlagen sowie der machtpolitisch bedingten Gefährdungen. 2 Er unterstützt die nationale und internationale Zusammenarbeit in der Forschung und Entwicklung im Bevölkerungsschutz.
Art. 9 Ausbildung der Führungsorgane;1 Für die Grundausbildung und die Weiterbildung (Ausbildung) der Angehörigen der Führungsorgane gelten die Vorschriften der Kantone. 2 Der Bundesrat regelt die Ausbildung der Führungsorgane im Zusammenhang mit der Verstärkung des Bevölkerungsschutzes im Hinblick auf bewaffnete Konflikte.
Art. 10 Unterstützung durch den Bund;"Der Bund: a.1koordiniert die Zusammenarbeit in der Ausbildung zwischen: 1.den Partnerorganisationen des Bevölkerungsschutzes,2.dem Bevölkerungsschutz und der Armee,3.dem Bevölkerungsschutz und Dritten;b.unterstützt die Kantone bei der Ausbildung der Führungsorgane;c.bietet Ausbildungen für die Führungsorgane an;d.kann die Durchführung von Ausbildungen mit den Kantonen vereinbaren; für Ausbildungen im Zuständigkeitsbereich der Kantone sind die entsprechenden Kosten von diesen zu übernehmen;e.stellt die Ausbildung des Lehrpersonals für die Führungsorgane sicher;f.ermöglicht dem Lehrpersonal der Partnerorganisationen die Teilnahme an Ausbildungsangeboten;g.betreibt eine Ausbildungsinfrastruktur. 1.den Partnerorganisationen des Bevölkerungsschutzes,2.dem Bevölkerungsschutz und der Armee,3.dem Bevölkerungsschutz und Dritten; 1 Fassung gemäss Ziff. I des BG vom 17. Juni 2011, in Kraft seit 1. Jan. 2012 (AS 2011 5891; BBl 2010 6055)."
