article_number;article_title;article_text
Art. 1;  Art. 11;"Diese Verordnung regelt die Zuständigkeiten und das Verfahren:
1 Fassung gemäss Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605)."
Art. 2;  Art. 2 Vorwarnung, Warnung und Entwarnung;"1 Eine Gefahr wird möglichst frühzeitig durch eine Warnung den zuständigen Stellen des Bundes, der Kantone und der Gemeinden gemeldet. Diese sorgen dafür, dass rechtzeitig die Einsatzbereitschaft für eine spätere Alarmierung erstellt werden kann.
2 Bei Naturgefahren wird nach den Behörden auch die Bevölkerung gewarnt, wenn dies der zuständigen Fachstelle gemäss Artikel 9 in der konkreten Situation notwendig erscheint. Bei hoher Dringlichkeit wird die Bevölkerung gleichzeitig gewarnt. Die Warnung kann mit unverbindlichen Verhaltensempfehlungen ergänzt werden.
3 Bei grösserer Unsicherheit, ob eine Naturgefahr eintreten wird, ergeht eine Vorwarnung an die Behörden.
4 Eine Vorwarnung und eine Warnung werden befristet oder unbefristet ausgesprochen. Bei unbefristeten Vorwarnungen und Warnungen muss nach Ende der Gefahr Entwarnung gegeben werden.
5 Die Bestimmungen für Warnungen vor Naturgefahren gelten für Erdbebenmeldungen sinngemäss."
Art. 3;  Art. 3 Alarmierungsbereitschaft;"1 Bei drohender Gefahr ordnen die folgenden Stellen Alarmierungsbereitschaft an:
2 Die Alarmierungsbereitschaft ist erstellt, wenn:"
Art. 4;  Art. 4 Anordnung der Alarmierung und der Verbreitung von Verhaltensanweisungen;"1 Ist nach Erstellung der Alarmierungsbereitschaft eine Alarmierung nötig, so wird die Bevölkerung mit stationären und mit mobilen Sirenen alarmiert; für abgelegene Gebäude erfolgt die Alarmierung per Telefon. Des Weiteren können der Bevölkerung über Radio und weitere Medien verbindliche Verhaltensanweisungen erteilt werden.
2 Erreicht eine Gefahr eine bestimmte Intensität, so ordnen die folgenden Stellen die Alarmierung und die Verbreitung von Verhaltensanweisungen an:
3 Bei hoher Dringlichkeit ordnet die NAZ die Alarmierung in eigener Kompetenz an."
Art. 5;  Art. 5 Aufträge zur Alarmierung und zur Verbreitung von Verhaltensanweisungen;"1 Die NAZ erteilt aufgrund der Anordnungen der Bundesstelle oder auf Veranlassung der kantonalen Stelle oder bei hoher Dringlichkeit den nachstehenden Stellen selbstständig die folgenden Aufträge:
2 Bei örtlich begrenzten Gefahren werden die Aufträge zur Alarmierung und zur Verbreitung von Verhaltensanweisungen wie folgt erteilt:
3 Treten aus einer Kernanlage radioaktive Stoffe innert weniger als einer Stunde aus, sodass vorsorgliche Schutzmassnahmen für die Bevölkerung der Zone 1 erforderlich sind (schneller Störfall), so erteilt der Betreiber der Kernanlage die Aufträge zur Alarmierung und zur Verbreitung von Verhaltensanweisungen und informiert unverzüglich die zuständigen Stellen des Bundes und der Kantone."
Art. 6;  Art. 6 Information bei Sirenenalarmen;"1 Die zuständigen Stellen melden jeden Sirenenalarm oder Sirenenfehlalarm unverzüglich der Kantonspolizei; diese orientiert die NAZ.
2 Bei einem Sirenenfehlalarm veranlasst die Kantonspolizei überdies umgehend die Information der Bevölkerung über Radio."
Art. 7;  Art. 7 Aufhebung der Alarmierungen und Verhaltensanweisungen;"1 Die Stelle, die den Alarm angeordnet hat, hebt nach Ende der Gefahr die Alarmierungen und die Verhaltensanweisungen auf.
2 Sie gibt die Aufhebung der Alarmierung und die Lockerung oder Aufhebung der Verhaltensanweisungen über Radio und weitere Medien bekannt."
Art. 8;  Art. 8 Kennzeichnung;Behördliche Warnungen und Verhaltensanweisungen staatlicher Stellen sind als solche zu kennzeichnen.
Art. 9;  Art. 9 Fachstellen des Bundes;"1 Für die Warnungen vor den nachstehenden Naturgefahren sind als Fachstellen des Bundes zuständig:
2 Sind in einer Gefahrensituation mehrere Fachstellen zuständig, so bestimmen sie gemeinsam, wer die Federführung hat, und erlassen gemeinsame Vorwarnungen, Warnungen und Entwarnungen.
3 Die zuständige beziehungsweise federführende Fachstelle übermittelt die Vorwarnungen, Warnungen und Entwarnungender NAZ; diese leitet sie an die Behörden weiter. Ergehen Warnungen der Stufen 4 und 5 und die entsprechenden Entwarnungen auch an die Bevölkerung, so leitet die NAZ diese an die gemäss Radio- und Fernsehgesetzgebung zur Verbreitung verpflichteten Radio- und Fernsehveranstalter weiter.
4 Die Fachstellen des Bundes bestimmen in Absprache mit den zuständigen Stellen der Kantone:
5 Die Kantone ergänzen und präzisieren bei Bedarf für ihr Gebiet ausgegebene Warnungen."
Art. 10;  Art. 10 Gefahrenskala;"1 Die Fachstellen des Bundes verwenden für die Warnungen vor Naturgefahren folgende Skala:
Stufe 1 keine oder geringe Gefahr
Stufe 2 mässige Gefahr
Stufe 3 erhebliche Gefahr
Stufe 4 grosse Gefahr
Stufe 5 sehr grosse Gefahr
2 Sie bestimmen für die in ihre Zuständigkeit fallenden Naturgefahren in Absprache mit den zuständigen Stellen der Kantone, welche Kriterien für die Erreichung einer Gefahrenstufe gelten. Sie berücksichtigen dabei insbesondere die Stärke des Naturereignisses.
3 Der SED verwendet für die Erdbebenmeldungen eine analoge Skala, die sich nach der Stärke des Erdbebens richtet."
Art. 11;  Art. 11 Störfälle in Kernanlagen;"1 Die Betreiber von Kernanlagen sind verantwortlich dafür, dass das Erreichen von Warn- und Alarmierungskriterien rechtzeitig erkannt und gemeldet wird.
2 Sie melden das Erreichen der Kriterien unverzüglich den folgenden Stellen:
3 Die NAZ warnt die zuständigen Stellen des Bundes und der Kantone."
