article_number;article_title;article_text
Art. 1;  Art. 1 Ziele;"1 Bund, Kantone und Gemeinden sorgen dafür, dass der Boden haushälterisch genutzt und das Baugebiet vom Nichtbaugebiet getrennt wird.1 Sie stimmen ihre raumwirksamen Tätigkeiten aufeinander ab und verwirklichen eine auf die erwünschte Entwicklung des Landes ausgerichtete Ordnung der Besiedlung. Sie achten dabei auf die natürlichen Gegebenheiten sowie auf die Bedürfnisse von Bevölkerung und Wirtschaft.
2 Sie unterstützen mit Massnahmen der Raumplanung insbesondere die Bestrebungen:
1 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).2 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).3 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).4 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049)."
Art. 2;  Art. 2 Planungspflicht;"1 Bund, Kantone und Gemeinden erarbeiten die für ihre raumwirksamen Aufgaben nötigen Planungen und stimmen sie aufeinander ab.
2 Sie berücksichtigen die räumlichen Auswirkungen ihrer übrigen Tätigkeit.
3 Die mit Planungsaufgaben betrauten Behörden achten darauf, den ihnen nachgeordneten Behörden den zur Erfüllung ihrer Aufgaben nötigen Ermessensspielraum zu lassen."
Art. 3;  Art. 3 Planungsgrundsätze;"1 Die mit Planungsaufgaben betrauten Behörden achten auf die nachstehenden Grundsätze.
2 Die Landschaft ist zu schonen. Insbesondere sollen:
3 Die Siedlungen sind nach den Bedürfnissen der Bevölkerung zu gestalten und in ihrer Ausdehnung zu begrenzen. Insbesondere sollen:
4 Für die öffentlichen oder im öffentlichen Interesse liegenden Bauten und Anlagen sind sachgerechte Standorte zu bestimmen. Insbesondere sollen:
1 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).2 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).3 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049)."
Art. 4;  Art. 4 Information und Mitwirkung;"1 Die mit Planungsaufgaben betrauten Behörden unterrichten die Bevölkerung über Ziele und Ablauf der Planungen nach diesem Gesetz.
2 Sie sorgen dafür, dass die Bevölkerung bei Planungen in geeigneter Weise mitwirken kann.
3 Die Pläne nach diesem Gesetz sind öffentlich."
Art. 5;  Art. 5 Ausgleich und Entschädigung;"1 Das kantonale Recht regelt einen angemessenen Ausgleich für erhebliche Vor- und Nachteile, die durch Planungen nach diesem Gesetz entstehen.
1bis Planungsvorteile werden mit einem Satz von mindestens 20 Prozent ausgeglichen. Der Ausgleich wird bei der Überbauung des Grundstücks oder dessen Veräusserung fällig. Das kantonale Recht gestaltet den Ausgleich so aus, dass mindestens Mehrwerte bei neu und dauerhaft einer Bauzone zugewiesenem Boden ausgeglichen werden.1
1ter Der Ertrag wird für Massnahmen nach Absatz 2 oder für weitere Massnahmen der Raumplanung nach Artikel 3, insbesondere Absätze 2 Buchstabe a und 3 Buchstabe abis, verwendet.2
1quater Für die Bemessung der Abgabe ist der bei einer Einzonung errechnete Planungsvorteil um den Betrag zu kürzen, welcher innert angemessener Frist zur Beschaffung einer landwirtschaftlichen Ersatzbaute zur Selbstbewirtschaftung verwendet wird.3
1quinquies Das kantonale Recht kann von der Erhebung der Abgabe absehen, wenn:
1sexies Die bezahlte Abgabe ist bei der Bemessung einer allfälligen Grundstückgewinnsteuer als Teil der Aufwendungen vom Gewinn in Abzug zu bringen.5
2 Führen Planungen zu Eigentumsbeschränkungen, die einer Enteignung gleichkommen, so wird voll entschädigt.
3 Die Kantone können vorschreiben, dass die Auszahlung von Entschädigungen bei Eigentumsbeschränkungen im Grundbuch anzumerken ist.
1 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).2 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).3 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).4 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).5 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049)."
Art. 6;  Art. 6 Grundlagen;"1 …1
2 Für die Erstellung ihrer Richtpläne erarbeiten die Kantone Grundlagen, in denen sie feststellen, welche Gebiete:2
3 In den Grundlagen geben sie auch Aufschluss über den Stand und die bisherige Entwicklung:3
4 Sie berücksichtigen die Konzepte und Sachpläne des Bundes, die Richtpläne der Nachbarkantone sowie regionale Entwicklungskonzepte und Pläne.
1 Aufgehoben durch Ziff. I des BG vom 15. Juni 2012, mit Wirkung seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).2 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).3 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).4 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).5 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049)."
Art. 7;  Art. 7 Zusammenarbeit der Behörden;"1 Die Kantone arbeiten mit den Behörden des Bundes und der Nachbarkantone zusammen, soweit ihre Aufgaben sich berühren.
2 Einigen sich Kantone untereinander oder mit dem Bund nicht darüber, wie raumwirksame Tätigkeiten aufeinander abgestimmt werden, so kann das Bereinigungsverfahren (Art. 12) verlangt werden.
3 Die Grenzkantone suchen die Zusammenarbeit mit den regionalen Behörden des benachbarten Auslandes, soweit sich ihre Massnahmen über die Grenzen auswirken können."
Art. 8;  Art. 81Mindestinhalt der Richtpläne;"1 Jeder Kanton erstellt einen Richtplan, worin er mindestens festlegt:
2 Vorhaben mit gewichtigen Auswirkungen auf Raum und Umwelt bedürfen einer Grundlage im Richtplan.
1 Fassung gemäss Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049)."
Art. 8;  Art. 8a1Richtplaninhalt im Bereich Siedlung;"1 Der Richtplan legt im Bereich Siedlung insbesondere fest:
2 und 3…2
1 Eingefügt durch Ziff. I des BG vom 15. Juni 2012, in Kraft seit 1. Mai 2014 (AS 2014 899; BBl 2010 1049).2 Urspünglich Art. 8 Abs. 2 und 3. Eingefügt durch Ziff. I des BG vom 17. Dez. 2010 (AS 2011 2913; BBl 2007 5765). Aufgehoben durch Art. 24 Ziff. 2 des Zweitwohnungsge- setzes vom 20. März 2015, mit Wirkung seit 1. Jan. 2016 (AS 2015 5657; BBl 2014 2287)."
Art. 9;  Art. 9 Verbindlichkeit und Anpassung;"1 Richtpläne sind für die Behörden verbindlich.
2 Haben sich die Verhältnisse geändert, stellen sich neue Aufgaben oder ist eine gesamthaft bessere Lösung möglich, so werden die Richtpläne überprüft und nötigenfalls angepasst.
3 Richtpläne werden in der Regel alle zehn Jahre gesamthaft überprüft und nötigenfalls überarbeitet."
Art. 10;  Art. 10 Zuständigkeit und Verfahren;"1 Die Kantone ordnen Zuständigkeit und Verfahren.
2 Sie regeln, wie die Gemeinden, andere Träger raumwirksamer Aufgaben sowie die beschwerdeberechtigten Umwelt-, Natur- und Heimatschutzorganisationen nach Artikel 55 des Umweltschutzgesetzes vom 7. Oktober 19831 und nach Artikel 12 des Bundesgesetzes vom 1. Juli 19662 über den Natur- und Heimatschutz beim Erarbeiten der Richtpläne mitwirken.3
1 SR 814.012 SR 4513 Fassung gemäss Ziff. II 2 des BG vom 20. Dez. 2006, in Kraft seit 1. Juli 2007 (AS 2007 2701; BBl 2005 5351 5391)"
Art. 11;  Art. 11 Genehmigung des Bundesrates;"1 Der Bundesrat genehmigt die Richtpläne und ihre Anpassungen, wenn sie diesem Gesetz entsprechen, namentlich die raumwirksamen Aufgaben des Bundes und der Nachbarkantone sachgerecht berücksichtigen.
2 Für den Bund und die Nachbarkantone werden Richtpläne erst mit der Genehmigung durch den Bundesrat verbindlich."
