article_number;article_title;article_text
Art. 1;  Art. 11;"Abgeltungen2 werden gewährt, wenn:
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823).2 Ausdruck gemäss Anhang Ziff. 1 der V vom 4. Mai 2011, in Kraft seit 1. Juni 2011 (AS 2011 1955). Diese Änd. wurde im ganzen Erlass berücksichtigt."
Art. 2;  Art. 21Abgeltungen2;"1 Abgeltungen an die wasserbaulichen Massnahmen, die Verlegung gefährdeter Bauten und Anlagen an sichere Orte sowie die Erstellung von Gefahrengrundlagen werden in der Regel global gewährt. Die Höhe der globalen Abgeltungen wird zwischen dem Bundesamt für Umwelt (BAFU) und dem betroffenen Kanton ausgehandelt und richtet sich nach:3
2 Abgeltungen können einzeln gewährt werden, wenn die Massnahmen:
3 Der Beitrag an die Kosten der Massnahmen nach Absatz 2 beträgt zwischen 35 und 45 Prozent und richtet sich nach:
4 Wird ein Kanton durch ausserordentliche Schutzmassnahmen, namentlich nach Unwetterschäden, erheblich belastet, so kann der Beitrag nach Absatz 3 ausnahmsweise auf höchstens 65 Prozent der Kosten der Massnahmen erhöht werden.
5 Keine Abgeltungen werden gewährt an:
1 Fassung gemäss Ziff. I 2 der V vom 2. Febr. 2011 (Weiterentwicklung der Programmvereinbarungen im Umweltbereich), in Kraft seit 1. März 2011 (AS 2011 649).2 Fassung gemäss Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427).3 Fassung gemäss Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427).4 Fassung gemäss Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. März 2015 (AS 2015 427)."
Art. 2;  Art. 2a1Anrechenbare Kosten;"1 Für Abgeltungen nach Artikel 2 Absätze 1 und 2 sind nur Kosten anrechenbar, die tatsächlich entstanden sind und unmittelbar für die zweckmässige Erfüllung der beitragsberechtigten Aufgabe erforderlich sind. Dazu gehören die Kosten für die Projektierung, den Landerwerb und die Ausführung sowie die Vermarkungskosten.
2 Nicht anrechenbar sind insbesondere Gebühren und Steuern sowie Kosten, die auf Dritte, die massgebliche Nutzniesser oder Schadenverursacher sind, überwälzt werden können.
1 Eingefügt durch Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427)."
Art. 3;  Art. 31;1 Aufgehoben durch Anhang Ziff. 1 der V vom 4. Mai 2011, mit Wirkung seit 1. Juni 2011 (AS 2011 1955).
Art. 4;  Art. 41Gesuch;"1 Der Kanton reicht das Gesuch um globale Abgeltungen beim BAFU2 ein.
2 Das Gesuch muss Angaben enthalten über:
3 Bei Massnahmen mit kantonsübergreifender Wirkung stellen die Kantone die Koordination der Gesuche mit den betroffenen Kantonen sicher.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823).2 Ausdruck gemäss Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427). Diese Änd. wurde im ganzen Erlass berücksichtigt."
Art. 5;  Art. 51Programmvereinbarung;"1 Das BAFU schliesst die Programmvereinbarung mit der zuständigen kantonalen Behörde ab.
2 Gegenstand der Programmvereinbarung sind insbesondere:
3 Die Dauer der Programmvereinbarung beträgt höchstens vier Jahre.
4 Das BAFU erlässt Richtlinien über das Vorgehen bei Programmvereinbarungen sowie über die Angaben und Unterlagen zu den Gegenständen der Programmvereinbarung.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823)."
Art. 6;  Art. 61Auszahlung;"Globale Abgeltungen werden in Tranchen ausbezahlt.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823)."
Art. 7;  Art. 71Berichterstattung und Kontrolle;"1 Der Kanton erstattet dem BAFU jährlich Bericht über die Verwendung der globalen Abgeltungen.
2 Das BAFU kontrolliert stichprobenweise:
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823)."
Art. 8;  Art. 81Mangelhafte Erfüllung und Zweckentfremdung;"1 Das BAFU hält die Tranchenzahlungen während der Programmdauer ganz oder teilweise zurück, wenn der Kanton:
2 Stellt sich nach der Programmdauer heraus, dass die Leistung mangelhaft ist, so verlangt das BAFU vom Kanton Nachbesserung; es setzt ihm dafür eine angemessene Frist.
3 Werden Anlagen oder Einrichtungen, an die Abgeltungen geleistet wurden, ihrem Zweck entfremdet, so kann das BAFU vom Kanton verlangen, dass er innerhalb einer angemessenen Frist die Unterlassung oder Rückgängigmachung der Zweckentfremdung erwirkt.
4 Werden die Mängel nicht behoben oder wird die Zweckentfremdung nicht unterlassen oder nicht rückgängig gemacht, so richtet sich die Rückforderung nach den Artikeln 28 und 29 des Subventionsgesetzes vom 5. Oktober 19902 (SuG).
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823).2 SR 616.1"
Art. 8;  Art. 8a1;1 Eingefügt durch Ziff. I 61 der V vom 26. Juni 1996 über die Neuzuordnung von Entscheidungsbefugnissen in der Bundesverwaltung (AS 1996 2243). Aufgehoben durch Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, mit Wirkung seit 1. Jan. 2016 (AS 2015 427).
Art. 9;  Art. 91Gesuch;"1 Der Kanton reicht das Gesuch um Abgeltungen im Einzelfall beim BAFU ein.
2 Das BAFU erlässt Richtlinien über die Angaben und Unterlagen zum Gesuch.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823)."
Art. 10;  Art. 101Gewährung und Auszahlung der Beiträge;"1 Das BAFU legt die Höhe der Abgeltung mittels Verfügung fest oder schliesst dazu mit dem Kanton einen Vertrag ab.
1bis Über Abgeltungen, die 10 Millionen Franken übersteigen, entscheidet das BAFU im Einvernehmen mit der Eidgenössischen Finanzverwaltung.2
2 Es richtet die Beiträge nach Fortschritt des Projektes aus.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823).2 Eingefügt durch Ziff. I 3 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427)."
Art. 11;  Art. 111Mangelhafte Erfüllung und Zweckentfremdung;"Erfüllt der Kanton bei einer zugesicherten Abgeltung die Massnahme trotz Mahnung nicht oder mangelhaft, so wird die Abgeltung nicht ausbezahlt oder gekürzt.
2 Sind Abgeltungen ausbezahlt worden und erfüllt der Kanton trotz Mahnung die Massnahme nicht oder mangelhaft, so richtet sich die Rückforderung nach Artikel 28 SuG2.
3 Werden Anlagen oder Einrichtungen, an die Abgeltungen geleistet wurden, ihrem Zweck entfremdet, so kann das BAFU vom Kanton verlangen, dass er innerhalb einer angemessenen Frist die Unterlassung oder Rückgängigmachung der Zweckentfremdung erwirkt.
4 Wird die Zweckentfremdung nicht unterlassen oder nicht rückgängig gemacht, so richtet sich die Rückforderung nach Artikel 29 SuG.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823).2 SR 616.1"
Art. 12;  Art. 121Berichterstattung und Kontrolle;"Für die Berichterstattung und die Kontrolle gilt Artikel 7 sinngemäss.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823)."
Art. 13;  Art. 13-151;1 Aufgehoben durch Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, mit Wirkung seit 1. Jan. 2008 (AS 2007 5823).
Art. 16;  Art. 16 Stellungnahme zu Massnahmen des Hochwasserschutzes;"1 Bevor die Kantone über bauliche Massnahmen des Hochwasserschutzes nach Artikel 3 Absatz 2 des Gesetzes entscheiden, unterbreiten sie das Projekt dem BAFU zur Stellungnahme; davon ausgenommen sind Massnahmen ohne besonderen Aufwand.1
2 In jedem Fall müssen Massnahmen zur Stellungnahme unterbreitet werden, wenn sie:
3 Bei anderen Massnahmen des Hochwasserschutzes können die Kantone das BAFU um Stellungnahme ersuchen.
4 Die Stellungnahme kann sich auch dazu äussern, ob und in welcher ungefähren Höhe eine Abgeltung für die Massnahme voraussichtlich möglich ist.
1 Fassung gemäss Ziff. I 9 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzausgleichs und die Aufgabenteilung zwischen Bund und Kantonen, in Kraft seit 1. Jan. 2008 (AS 2007 5823)."
Art. 17;  Art. 17 Unterlagen;"1 Für die Stellungnahme reichen die Kantone beim BAFU folgende Unterlagen ein:
2 Das BAFU kann weitere Unterlagen anfordern."
Art. 18;  Art. 18 Stellungnahme zu anderen Massnahmen;Bundesstellen, welche Massnahmen vorsehen oder mitfinanzieren, die den Abfluss von Wasser, den Transport von Feststoffen oder das Abflussgeschehen, insbesondere Hochwasserspitzen, erheblich beeinflussen, holen vor ihrem Entscheid die Stellungnahme des BAFU ein.
Art. 18;  Art. 18a1Verbot von gefährlichen Massnahmen;"Das BAFU kann Massnahmen, die den Hochwasserschutz gefährden, verbieten oder verlangen, dass sie rückgängig gemacht werden.
1 Eingefügt durch Anhang Ziff. 5 der Organisationsverordnung vom 6. Dez. 1999 für das Eidgenössische Departement für Umwelt, Verkehr, Energie und Kommunikation, in Kraft seit 1. Jan. 2000 (AS 2000 243)."
Art. 19;  Art. 19 Förderung;Das BAFU fördert die Aus- und Weiterbildung von Personen, die mit dem Vollzug des Hochwasserschutzes betraut sind.
