article_number;article_title;article_text
Art. 1;  Art. 1 Gegenstand;Dieses Gesetz regelt die Sicherheit der Stauanlagen sowie die Haftung für Schäden, die auf das Austreten von Wassermassen aus einer Stauanlage zurückzuführen sind.
Art. 2;  Art. 2 Geltungsbereich;"1 Dieses Gesetz gilt für Stauanlagen, die eine der folgenden Voraussetzungen erfüllen: a.Die Stauhöhe über Niederwasser des Gewässers oder über Geländehöhe beträgt mindestens 10 m.b.Die Stauhöhe beträgt mindestens 5 m und die Anlage weist einen Stauraum von mehr als 50 000 m3 auf. 2 Die Aufsichtsbehörde des Bundes (Art. 22) kann: a.Stauanlagen mit geringeren Ausmassen diesem Gesetz unterstellen, wenn sie ein besonderes Gefährdungspotenzial darstellen;b.Stauanlagen, für die nachgewiesen wird, dass sie kein besonderes Gefährdungspotenzial darstellen, vom Geltungsbereich dieses Gesetzes ausnehmen."
Art. 3;  Art. 3 Begriffe;"1 Stauanlagen sind Einrichtungen zum Aufstau oder zur Speicherung von Wasser oder Schlamm. Als Stauanlagen gelten auch Bauwerke für den Rückhalt von Geschiebe, Eis und Schnee oder für den kurzfristigen Rückhalt von Wasser (Rückhaltebecken). 2 Grosse Stauanlagen sind solche: a.mit einer Stauhöhe von mindestens 25 Metern;b.mit einer Stauhöhe von mehr als 15 Metern und mit mehr als 50 000 m3 Stauraum;c.mit einer Stauhöhe von mehr als 10 Metern und mit mehr als 100 000 m3 Stauraum;d.mit mehr als 500 000 m3 Stauraum."
Art. 4;  Art. 4 Stauanlagen an Grenzgewässern;1 Der Bundesrat kann für Stauanlagen an Grenzgewässern besondere Bestimmungen erlassen oder mit den Nachbarstaaten vereinbaren. 2 Er kann dabei von den Bestimmungen über das anwendbare Recht und den Gerichtsstand in Bundesgesetzen oder in Staatsverträgen abweichen.
Art. 5;  Art. 5 Grundsätze;1 Stauanlagen sind nach dem Stand von Wissenschaft und Technik so zu bemessen, zu bauen und zu betreiben, dass ihre Standsicherheit bei allen voraussehbaren Betriebs- und Lastfällen gewährleistet ist. 2 Bei der Festlegung der anzuordnenden Massnahmen ist auf eine wirtschaftliche Ausnützung der Wasserkräfte möglichst Rücksicht zu nehmen. Sie werden von der Aufsichtsbehörde nach Anhörung der Werkeigentümerin und, soweit es sich um Massnahmen baulicher Natur handelt und mit der Werkeigentümerin keine Einigung erzielt werden kann, nach Beiziehung anerkannter Fachleute der Technik und der Energiewirtschaft verfügt. 3 Die Stauanlagen müssen zur Vornahme von Kontroll- und Unterhaltsarbeiten entleert und der Stausee muss bei drohender Gefahr abgesenkt werden können. Zu diesem Zweck müssen Stauanlagen mindestens über einen ausreichend dimensionierten Grundablass oder eine ausreichend dimensionierte Tiefschütze verfügen. Der Bundesrat kann für besondere Kategorien von Stauanlagen Ausnahmen vorsehen. 4 Hochwasser müssen bei vollem Becken sicher abgeleitet werden können.
Art. 6;  Art. 6 Plangenehmigung und Bau;1 Wer eine Stauanlage bauen oder ändern will, braucht eine Plangenehmigung der zuständigen Genehmigungsbehörde. 2 Soweit der Bau oder die Änderung einer Anlage nach einem andern Gesetz genehmigt werden muss, wird mit dem Entscheid über die Genehmigung nach jenem Gesetz auch über die Erteilung der Plangenehmigung nach diesem Gesetz entschieden. 3 Die Plangenehmigung ist zu erteilen, wenn die Anforderungen an die technische Sicherheit erfüllt werden. 4 Das Gesuch um eine Plangenehmigung muss alle Angaben enthalten, welche für die sicherheitstechnische Beurteilung erforderlich sind. 5 Die Aufsichtsbehörde prüft das Gesuch. Ist sie nicht Genehmigungsbehörde, so teilt sie dieser das Ergebnis ihrer sicherheitstechnischen Prüfung mit. Soweit die technische Sicherheit der Anlage es erfordert, beantragt sie der Genehmigungsbehörde Auflagen für den Bau. 6 Die Genehmigungsbehörde nimmt das Ergebnis der sicherheitstechnischen Prüfung und die beantragten Auflagen betreffend die technische Sicherheit in ihren Entscheid auf. 7 Sie ordnet besondere bauliche Vorkehrungen an, wenn dies zum Schutz vor Sabotageakten erforderlich ist. 8 Die Aufsichtsbehörde kontrolliert während der Bauausführung, ob die Anforderungen an die technische Sicherheit eingehalten werden.
Art. 7;  Art. 7 Inbetriebnahme;1 Wer eine Stauanlage in Betrieb beziehungsweise wieder in Betrieb nehmen will, braucht eine Bewilligung der Aufsichtsbehörde. 2 Das Bewilligungsgesuch muss alle Angaben enthalten, welche für die sicherheitstechnische Beurteilung erforderlich sind. 3 Die Aufsichtsbehörde beurteilt die Angaben der Gesuchstellerin und kontrolliert, ob die Anforderungen an die technische Sicherheit eingehalten werden. Soweit die technische Sicherheit der Anlage es erfordert, verfügt sie Auflagen für die Inbetriebnahme und den Betrieb.
Art. 8;  Art. 8 Betrieb;"1 Die Betreiberin hat während des Betriebs dafür zu sorgen, dass: a.der Schutz der Bevölkerung und der Umwelt gewährleistet ist;b.die Entleerungs- und Entlastungsvorrichtungen betriebstüchtig sind. 2 Sie führt die Kontrollen, Messungen und Prüfungen durch, die zur Beurteilung des Zustands und des Verhaltens einer Stauanlage erforderlich sind, und lässt die Ergebnisse unverzüglich auswerten. Sie stellt die entsprechenden Berichte der Aufsichtsbehörde zu. 3 Sie muss: a.die Stauanlage ordnungsgemäss unterhalten sowie Schäden und Sicherheitsmängel unverzüglich beheben;b.die Stauanlage nachrüsten oder umbauen, wenn die Aufsichtsbehörde dies zur Behebung von Sicherheitsmängeln verlangt;c.gestatten, dass nationale Überwachungs- und Messsysteme angebracht und benützt werden, und den Kontrollorganen den Zutritt dazu ermöglichen. 4 Die Aufsichtsbehörde beurteilt die Berichte und kontrolliert, ob die Anforderungen an die technische Sicherheit eingehalten werden. Sie führt bei der Anlage periodisch Kontrollen durch. 5 Sie verfügt Auflagen für den weiteren Betrieb, soweit es die technische Sicherheit der Anlage erfordert. 6 Die Stauanlage ist so lange zu überwachen und zu unterhalten, als sie Wasser, Schlamm und andere Materialien aufstauen oder zurückhalten kann. Fehlt eine Betreiberin, so ist die Grundeigentümerin für die Einhaltung dieser Pflichten verantwortlich."
Art. 9;  Art. 9 Beeinflussung der Sicherheit durch andere Bauten und Anlagen;Bevor eine Behörde über die Errichtung oder Änderung einer Baute oder Anlage entscheidet, die sich auf die Sicherheit einer bestehenden Stauanlage nachteilig auswirken könnte, hört sie die Aufsichtsbehörde an.
Art. 10;  Art. 10 Vorkehrungen für den Notfall;1 Die Betreiberin trifft Vorkehrungen für den Fall, dass der sichere Betrieb einer Stauanlage aufgrund von Verhaltensanomalien, Naturereignissen oder Sabotageakten nicht mehr gewährleistet ist. 2 Sie muss bei einem Notfall alle erforderlichen Massnahmen treffen, um Gefährdungen von Personen, Sachen und der Umwelt zu verhindern.
