article_number;article_title;article_text
Art. 1;  Art. 1 Zweck und Grundsatz;1 Diese Verordnung soll ober- und unterirdische Gewässer vor nachteiligen Einwirkungen schützen und deren nachhaltige Nutzung ermöglichen. 2 Zu diesem Zweck müssen bei allen Massnahmen nach dieser Verordnung die ökologischen Ziele für Gewässer (Anhang 1) berücksichtigt werden.
Art. 2;  Art. 2 Geltungsbereich;1 Diese Verordnung regelt: 2 Für radioaktive Stoffe gilt die Verordnung, soweit diese Stoffe biologische Wirkungen auf Grund ihrer chemischen Eigenschaften zur Folge haben. Soweit diese Stoffe biologische Wirkungen auf Grund ihrer Strahlung zur Folge haben, gelten die Strahlenschutz- und die Atomgesetzgebung. 1 Fassung gemäss Ziff. I der V vom 4. Mai 2011, in Kraft seit 1. Juni 2011 (AS 2011 1955).
Art. 3;  Art. 3;1 Die Behörde beurteilt, ob Abwasser bei der Einleitung in ein Gewässer oder bei der Versickerung als verschmutzt oder nicht verschmutzt gilt, auf Grund: 2 Bei der Versickerung von Abwasser berücksichtigt sie ausserdem, ob: 3 Von bebauten oder befestigten Flächen abfliessendes Niederschlagswasser gilt in der Regel als nicht verschmutztes Abwasser, wenn es: 1 Fassung gemäss Ziff. I der V vom 4. Mai 2011, in Kraft seit 1. Juni 2011 (AS 2011 1955).2 SR 814.123 Fassung gemäss Ziff. I der V vom 4. Mai 2011, in Kraft seit 1. Juni 2011 (AS 2011 1955).4 Fassung gemäss Ziff. I der V vom 4. Mai 2011, in Kraft seit 1. Juni 2011 (AS 2011 1955).
Art. 4;  Art. 4 Regionale Entwässerungsplanung;1 Die Kantone sorgen für die Erstellung eines regionalen Entwässerungsplanes (REP), wenn zur Gewährleistung eines sachgemässen Gewässerschutzes in einem begrenzten, hydrologisch zusammenhängenden Gebiet die Gewässerschutzmassnahmen der Gemeinden aufeinander abgestimmt werden müssen. 2 Der REP legt insbesondere fest: 3 Die Behörde berücksichtigt bei der Erstellung des REP den Raumbedarf der Gewässer, den Hochwasserschutz und andere Massnahmen zum Schutz der Gewässer als die Abwasserbehandlung. 4 Der REP ist für die Planung und Festlegung der Gewässerschutzmassnahmen in den Gemeinden verbindlich. 5 Er ist öffentlich zugänglich.
Art. 5;  Art. 5 Kommunale Entwässerungsplanung;1 Die Kantone sorgen für die Erstellung von generellen Entwässerungsplänen (GEP), die in den Gemeinden einen sachgemässen Gewässerschutz und eine zweckmässige Siedlungsentwässerung gewährleisten. 2 Der GEP legt mindestens fest: 3 Der GEP wird nötigenfalls angepasst: 4 Er ist öffentlich zugänglich.
Art. 6;  Art. 6 Einleitung in Gewässer;1 Die Behörde bewilligt die Einleitung von verschmutztem Abwasser in oberirdische Gewässer, Drainagen sowie unterirdische Flüsse und Bäche, wenn die Anforderungen an die Einleitung in Gewässer nach Anhang 3 eingehalten sind. 2 Sie verschärft oder ergänzt die Anforderungen, wenn: 3 Sie kann die Anforderungen verschärfen oder ergänzen, wenn die Wasserqualität nach Anhang 2 für eine besondere Nutzung des betroffenen Gewässers nicht ausreicht. 4 Sie kann die Anforderungen erleichtern, wenn:
Art. 7;  Art. 7 Einleitung in die öffentliche Kanalisation;1 Die Behörde bewilligt die Einleitung von Industrieabwasser nach Anhang 3.2 oder von anderem Abwasser nach Anhang 3.3 in die öffentliche Kanalisation, wenn die Anforderungen des entsprechenden Anhangs eingehalten sind. 2 Sie verschärft oder ergänzt die Anforderungen, wenn durch die Einleitung des Abwassers: 3 Sie kann die Anforderungen erleichtern, wenn: 1 Aufgehoben durch Ziff. I der V vom 4. Nov. 2015, mit Wirkung seit 1. Jan. 2016 (AS 2015 4791).
Art. 8;  Art. 8 Versickerung;1 Das Versickernlassen von verschmutztem Abwasser ist verboten. 2 Die Behörde kann das Versickernlassen von kommunalem Abwasser oder von anderem verschmutztem Abwasser vergleichbarer Zusammensetzung bewilligen, wenn: 1 SR 814.12
Art. 9;  Art. 9 Abwasser besonderer Herkunft;1 Verschmutztes Abwasser, das ausserhalb des Bereichs der öffentlichen Kanalisationen anfällt und für das weder die Einleitung in ein Gewässer, noch die Versickerung, noch die Verwertung zusammen mit Hofdünger (Art. 12 Abs. 4 GSchG) zulässig ist, muss in einer abflusslosen Grube gesammelt und regelmässig einer zentralen Abwasserreinigungsanlage oder einer besonderen Behandlung zugeführt werden. 2 Abwasser aus der Aufbereitung von Hofdüngern, der hors-sol-Produktion und ähnlichen pflanzenbaulichen Verfahren muss umweltverträglich und entsprechend dem Stand der Technik landwirtschaftlich oder gartenbaulich verwertet werden. 3 Abwasser aus beweglichen Sanitäranlagen muss gesammelt werden und darf nur unter Benutzung der dafür vorgesehenen Einrichtungen in öffentliche Kanalisationen eingeleitet werden. Davon ausgenommen sind Sanitäranlagen in:
Art. 10;  Art. 10 Verbot der Abfallentsorgung mit dem Abwasser;Es ist verboten:
