article_number;article_title;article_text
Art. 1;  Art. 1 Begriff des Waldes;"(Art. 2 Abs. 41) 1 Die Kantone bestimmen die Werte, ab welchen eine bestockte Fläche als Wald gilt, innerhalb der folgenden Bereiche: a.Fläche mit Einschluss eines zweckmässigen Waldsaumes: 200-800 m2;b.Breite mit Einschluss eines zweckmässigen Waldsaumes: 10-12 m;c.Alter der Bestockung auf Einwuchsflächen: 10-20 Jahre. 2 Erfüllt die Bestockung in besonderem Masse Wohlfahrts- oder Schutzfunktionen, so gilt sie unabhängig von ihrer Fläche, ihrer Breite oder ihrem Alter als Wald. 1 Die Hinweise nach den Sachüberschriften beziehungsweise Gliederungstiteln beziehen sich auf die entsprechenden Art. des WaG."
Art. 2;  Art. 2 Bestockte Weiden;(Art. 2 Abs. 2) Bestockte Weiden (Wytweiden) sind Flächen, auf denen Waldbestockungen und offene Weideplätze mosaikartig abwechseln und die sowohl der Vieh- als auch der Forstwirtschaft dienen.
Art. 3;  Art. 3 Einrichtungen zur Stauhaltung und Vorgelände;(Art. 2 Abs. 3) 1 Einrichtungen zur Stauhaltung sind Bauwerke, die Wasser an seinem natürlichen Abfluss hindern und einen Rückstau verursachen. 2 Als unmittelbares Vorgelände einer Einrichtung zur Stauhaltung gilt das Gelände, das luftseitig an die Einrichtung angrenzt. Es umfasst in der Regel einen Streifen von 10 m Breite.
Art. 4;  Art. 4 Begriff;"(Art. 4 und 12) Nicht als Rodung gilt: a.die Beanspruchung von Waldboden für forstliche Bauten und Anlagen sowie für nichtforstliche Kleinbauten und -anlagen;b.die Zuweisung von Wald in eine Schutzzone nach Artikel 17 des Raumplanungsgesetzes vom 22. Juni 19791 (RPG), sofern das Schutzziel mit der Walderhaltung in Einklang steht. 1 SR 700"
Art. 5;  Art. 51Rodungsgesuch, öffentliche Auflage;1 Das Rodungsgesuch ist bei Werken, für die der Bund zuständig ist, der Leitbehörde des Bundes und bei Werken, für die die Kantone zuständig sind, der nach kantonalem Recht zuständigen Behörde einzureichen. 2 Die Behörde macht das Gesuch öffentlich bekannt und legt die Akten zur Einsicht auf. 3 Das Bundesamt für Umwelt2 (BAFU3) erlässt Richtlinien über den Inhalt eines Rodungsgesuches. 1 Fassung gemäss Ziff. II 17 der V vom 2. Febr. 2000 zum BG über die Koordination und Vereinfachung von Entscheidverfahren, in Kraft seit 1. März 2000 (AS 2000 703).2 Die Bezeichnung der Verwaltungseinheit wurde in Anwendung von Art. 16 Abs. 3 der Publikationsverordnung vom 17. Nov. 2004 (AS 2004 4937) angepasst.3 Bezeichnung gemäss Ziff. I 5 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427). Die Anpassung wurde im ganzen Erlass berücksichtigt.
Art. 6;  Art. 61Mitwirkung des BAFU und der Kantone;"1 Ist der Bund für die Rodungsbewilligung zuständig, so gilt für die Mitwirkung des BAFU und der Kantone Artikel 49 Absatz 2 WaG. Die Kantone unterstützen die Bundesbehörden bei der Abklärung des Sachverhalts. 2 Zur Rodungsfläche, nach der sich die Pflicht zur Anhörung des BAFU (Art. 6 Abs. 2 WaG) bestimmt, sind alle Rodungen zu rechnen, die: a.mit dem Rodungsgesuch anbegehrt werden;b.in den letzten 15 Jahren vor der Einreichung des Rodungsgesuchs für das gleiche Werk ausgeführt wurden oder noch ausgeführt werden dürfen. 1 Fassung gemäss Ziff. II 17 der V vom 2. Febr. 2000 zum BG über die Koordination und Vereinfachung von Entscheidverfahren, in Kraft seit 1. März 2000 (AS 2000 703)."
Art. 7;  Art. 7 Rodungsentscheid;"1 Der Rodungsentscheid spricht sich aus über: a.die Flächen der bewilligten und der verweigerten Rodungen sowie über die davon betroffenen Grundstücke mit Angabe der Koordinaten;b.Art und Umfang der Ersatzmassnahmen sowie die davon betroffenen Grundstücke mit Angabe der Koordinaten;c.die Fristen zur Benutzung der Rodungsbewilligung und zur Erfüllung der mit der Rodung verbundenen Pflichten, insbesondere derjenigen der Ersatzmassnahmen;d.die unerledigten Einsprachen;e.allfällige weitere Bedingungen und Auflagen. 2 Das BAFU führt eine Statistik der vom Bund und von den Kantonen bewilligten Rodungen. Die Kantone stellen dem BAFU die erforderlichen Angaben zur Verfügung.1 1 Eingefügt durch Ziff. II 17 der V vom 2. Febr. 2000 zum BG über die Koordination und Vereinfachung von Entscheidverfahren, in Kraft seit 1. März 2000 (AS 2000 703)."
Art. 8;  Art. 8 Realersatz;(Art. 7 Abs. 1)1 1 Realersatz wird geleistet, indem für die gerodete Fläche eine gleich grosse Fläche Wald an einem Standort begründet wird, der qualitativ ähnliche Bedingungen bietet wie die gerodete Fläche. 2 Der Realersatz schliesst die Landbeschaffung, die Pflanzung sowie alle Massnahmen ein, die zur dauernden Sicherung der Ersatzfläche erforderlich sind. 3 Einwuchsflächen und freiwillig aufgeforstete Flächen, die noch nicht Wald sind, können als Realersatz anerkannt werden. 1 Fassung gemäss Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).
Art. 8;  Art. 8a1Gebiete mit zunehmender Waldfläche;(Art. 7 Abs. 2 Bst. a) Die Kantone bezeichnen nach Anhörung des BAFU die Gebiete mit zunehmender Waldfläche. Deren Abgrenzung stützt sich auf Erhebungen des Bundes und der Kantone, erfolgt grundsätzlich entlang topografischer Einheiten und berücksichtigt die bestehende Besiedlung und Nutzung. 1 Eingefügt durch Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).
Art. 9;  Art. 9 Schonung von landwirtschaftlichem Kulturland sowie ökologisch oder landschaftlich wertvoller Gebiete;"(Art. 7 Abs. 2 Bst. b)1 1 Auf Realersatz kann insbesondere bei Fruchtfolgeflächen verzichtet werden.2 2 Ökologisch wertvoll sind insbesondere: a.Biotope nach Artikel 18 Absatz 1bis des Bundesgesetzes vom 1. Juli 19663 über den Natur- und Heimatschutz;b.Gebiete, die nach Artikel 17 RPG4 als Naturschutzzonen ausgeschieden sind. 3 Landschaftlich wertvoll sind insbesondere: a.Objekte, die nach der Verordnung vom 10. August 19775 über das Bundesinventar der Landschaften und Naturdenkmäler von nationaler Bedeutung sind;b.Moorlandschaften von besonderer Schönheit und von nationaler Bedeutung nach Artikel 24sexies Absatz 5 der Bundesverfassung6;c.Gebiete, die nach Artikel 17 RPG als Landschaftsschutzzonen ausgeschieden sind. 1 Fassung gemäss Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).2 Fassung gemäss Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).3 SR 4514 SR 7005 SR 451.116 [BS 1 3; AS 1988 352]. Der genannten Bestimmung entspricht heute Art. 78 Abs. 5 der BV vom 18. April 1999 (SR 101)."
Art. 9;  Art. 9a1Verzicht auf Rodungsersatz;(Art. 7 Abs. 3 Bst. b) Bei Projekten zur Gewährleistung des Hochwasserschutzes und zur Revitalisierung von Gewässern kann auf Rodungsersatz insbesondere bei Flächen verzichtet werden, die nicht mehr mit Wald bestockt werden können. 1 Eingefügt durch Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).
Art. 10;  Art. 101;1 Aufgehoben durch Ziff. I der V vom 14. Juni 2013, mit Wirkung seit 1. Juli 2013 (AS 2013 1983).
Art. 11;  Art. 11 Anmerkung im Grundbuch und Meldung;"1 Auf Anmeldung der nach Artikel 6 Absatz 1 WaG zuständigen Behörde ist im Grundbuch anzumerken die Pflicht zur Leistung:1 a.von Realersatz oder zu Massnahmen zugunsten des Natur- und Landschaftsschutzes;b.des nachträglichen Rodungsersatzes bei Nutzungsänderungen nach Artikel 7 Absatz 4 WaG.2 2 Die Kantone überwachen sämtliche Ersatzmassnahmen und melden deren Abnahme dem BAFU. 1 Fassung gemäss Ziff. I der V vom 17. Aug. 2016, in Kraft seit 1. Jan. 2017 (AS 2016 3215).2 Fassung gemäss Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983)."
Art. 12;  Art. 12 Waldfeststellungsverfügung;(Art. 10 Abs. 1)1 1 Die Waldfeststellungsverfügung hält fest, ob eine bestockte oder unbestockte Fläche Wald ist oder nicht und gibt deren Koordinaten an. 2 Sie bezeichnet in einem Plan Lage und Ausmasse des Waldes sowie die Lage der berührten Grundstücke. 1 Eingefügt durch Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).
Art. 12;  Art. 12a1Festlegung statischer Waldgrenzen ausserhalb der Bauzonen;(Art. 10 Abs. 2 Bst. b) Gebiete, in denen der Kanton eine Zunahme des Waldes verhindern will, sind im kantonalen Richtplan zu bezeichnen. 1 Eingefügt durch Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).
Art. 13;  Art. 13;"1 Waldstrassen dürfen zu folgenden Zwecken mit Motorfahrzeugen befahren werden: a.zu Rettungs- und Bergungszwecken;b.zu Polizeikontrollen;c.zu militärischen Übungen;d.zur Durchführung von Massnahmen zum Schutz vor Naturereignissen;e.1zum Unterhalt von Leitungsnetzen der Anbieterinnen von Fernmeldediensten. 2 Der übrige Wald darf nur mit Motorfahrzeugen befahren werden, wenn dies zur Erfüllung eines Zweckes nach Absatz 1 unumgänglich ist. 3 Veranstaltungen mit Motorfahrzeugen sind auf Waldstrassen und im übrigen Wald verboten. 1 Fassung gemäss Ziff. II 61 der V vom 1. Dez. 1997, in Kraft seit 1. Jan. 1998 (AS 1997 2779)."
Art. 13;  Art. 13a1Forstliche Bauten und Anlagen;"(Art. 2 Abs. 2 Bst. b und 11 Abs. 1) 1 Forstliche Bauten und Anlagen, wie Forstwerkhöfe, gedeckte Energieholzlager und Waldstrassen, dürfen mit behördlicher Bewilligung nach Artikel 22 RPG2 errichtet oder geändert werden. 2 Voraussetzung einer Bewilligung ist, dass: a.die Bauten und Anlagen der regionalen Bewirtschaftung des Waldes dienen;b.für diese Bauten und Anlagen der Bedarf ausgewiesen, ihr Standort zweckmässig und ihre Dimensionierung den regionalen Verhältnissen angepasst ist; undc.ihr keine überwiegenden öffentlichen Interessen entgegenstehen. 3 Die übrigen Voraussetzungen des Bundesrechts und des kantonalen Rechts bleiben vorbehalten. 1 Eingefügt durch Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).2 SR 700"
Art. 14;  Art. 14 Einbezug der kantonalen Forstbehörde;(Art. 11 Abs. 1 und 16)1 1 Bevor Baubewilligungen für forstliche Bauten oder Anlagen im Wald nach Artikel 22 RPG2 erteilt werden, ist die zuständige kantonale Forstbehörde anzuhören. 2 Ausnahmebewilligungen für nichtforstliche Kleinbauten oder -anlagen im Wald nach Artikel 24 RPG dürfen nur im Einvernehmen mit der zuständigen kantonalen Forstbehörde erteilt werden. 1 Eingefügt durch Ziff. I der V vom 14. Juni 2013, in Kraft seit 1. Juli 2013 (AS 2013 1983).2 SR 700
Art. 15;  Art. 15 Grundlagen;"1 Die Kantone erarbeiten die Grundlagen für den Schutz vor Naturereignissen. Sie: a.führen Inventare über Bauten und Anlagen, die für den Schutz vor Naturereignissen von Bedeutung sind (Schutzbautenkataster);b.dokumentieren Schadenereignisse (Ereigniskataster) und analysieren, soweit erforderlich, grössere Schadenereignisse;c.erstellen Gefahrenkarten und, für den Ereignisfall, Notfallplanungen und führen diese periodisch nach.1 2 Bei der Erarbeitung der Grundlagen berücksichtigen sie die von den Fachstellen des Bundes durchgeführten Arbeiten und aufgestellten technischen Richtlinien. 3 Die Kantone berücksichtigen die Grundlagen bei allen raumwirksamen Tätigkeiten, insbesondere in der Richt- und Nutzungsplanung. 4 Sie stellen die Grundlagen dem BAFU auf Verlangen zur Verfügung und machen sie der Öffentlichkeit in geeigneter Form zugänglich.2 1 Fassung gemäss Ziff. I 5 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. Jan. 2016 (AS 2015 427).2 Eingefügt durch Ziff. I 21 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzaus-gleichs und der Aufgabenteilung zwischen Bund und Kantonen (AS 2007 5823). Fassung gemäss Anhang 2 Ziff. 13 der V vom 21. Mai 2008 über Geoinformation, in Kraft seit 1. Juli 2008 (AS 2008 2809)."
Art. 16;  Art. 16 Frühwarndienste;1 Wo es der Schutz von Menschen oder erheblichen Sachwerten erfordert, errichten die Kantone Frühwarndienste. Sie sorgen für den Aufbau sowie den Betrieb der dazugehörigen Messstellen und Informationssysteme. 2 Bei der Errichtung und beim Betrieb der Frühwarndienste berücksichtigen sie die von den Fachstellen des Bundes durchgeführten Arbeiten und aufgestellten technischen Richtlinien. 3 Sie sorgen dafür, dass die Daten der Messstellen und Informationssysteme dem BAFU auf Verlangen zur Verfügung gestellt und der Öffentlichkeit in geeigneter Form zugänglich gemacht werden.1 1 Eingefügt durch Ziff. I 21 der V vom 7. Nov. 2007 über die Neugestaltung des Finanzaus-gleichs und der Aufgabenteilung zwischen Bund und Kantonen (AS 2007 5823). Fassung gemäss Anhang 2 Ziff. 13 der V vom 21. Mai 2008 über Geoinformation, in Kraft seit 1. Juli 2008 (AS 2008 2809).
Art. 17;  Art. 17 Sicherung von Gefahrengebieten;"(Art. 19) 1 Die Sicherung von Gefahrengebieten umfasst: a.waldbauliche Massnahmen;b.bauliche Massnahmen zur Verhinderung von Lawinenschäden und ausnahmsweise die Erstellung von Anlagen zur vorsorglichen Auslösung von Lawinen;c.begleitende Massnahmen im Gerinne, die mit der Walderhaltung im Zusammenhang stehen (forstlicher Bachverbau);d.den Rutschhang- und Rüfenverbau, entsprechende Entwässerungen sowie den Erosionsschutz;e.Steinschlag- und Felssturzverbauungen, Auffangwerke sowie ausnahmsweise die vorsorgliche Auslösung von absturzgefährdetem Material;f.die Verlegung gefährdeter Bauten und Anlagen an sichere Orte. 2 Die Arbeiten sind wenn möglich mit ingenieurbiologischen und waldbaulichen Massnahmen zu kombinieren. 3 Die Kantone sorgen für eine integrale Planung; diese berücksichtigt insbesondere die Interessen der Bewirtschaftung des Waldes, des Natur- und Landschaftsschutzes, des Wasserbaus, der Landwirtschaft und der Raumplanung."
Art. 18;  Art. 18 Forstliche Planung;"(Art. 20 Abs. 2) 1 Die Kantone erlassen Vorschriften für die Planung der Waldbewirtschaftung. Darin halten sie insbesondere fest: a.die Planarten und deren Inhalt;b.die Planungspflichtigen;c.die Planungsziele;d.die Art der Beschaffung und der Verwendung von Planungsgrundlagen;e.das Planungs- und Kontrollverfahren;f.die periodische Überprüfung der Pläne. 2 In den forstlichen Planungsdokumenten sind mindestens die Standortverhältnisse sowie die Waldfunktionen und deren Gewichtung festzuhalten. 3 Die Kantone sorgen bei Planungen von überbetrieblicher Bedeutung dafür, dass die Bevölkerung: a.über deren Ziele und Ablauf unterrichtet wird;b.dabei in geeigneter Weise mitwirken kann;c.diese einsehen kann. 4 Sie berücksichtigen die raumwirksamen Ergebnisse der forstlichen Planung in ihrer Richtplanung.1 1 Eingefügt durch Ziff. I 5 der V vom 28. Jan. 2015 über Anpassungen des Verordnungsrechts im Umweltbereich, insbesondere hinsichtlich der Programmvereinbarungen für die Programmperiode 2016-2019, in Kraft seit 1. März 2015 (AS 2015 427)."
